crate,n_attr_ignored,n_cfg_out,ignored_tests
bytes-1.11.1,1,10,reserve_max_original_capacity_value;sanity_check_odd_allocator;test_bytes_advance;test_bytes_clone_drop;test_bytes_from_vec_drop;test_bytes_truncate;test_bytes_truncate_and_advance;test_bytesmut_from_bytes_arc_1;test_bytesmut_from_bytes_arc_2;test_bytesmut_from_bytes_arc_offset;test_bytesmut_from_bytes_vec
const-oid-0.10.2,0,0,
bit-vec-0.9.1,0,0,
concurrent-queue-2.5.0,0,0,
bindgen-0.72.1,0,0,
base64ct-1.8.3,0,0,
data-encoding-2.11.0,0,0,
crossbeam-queue-0.3.12,0,0,
bit-set-0.10.0,0,0,
crossbeam-deque-0.8.6,1,0,no_starvation
ansi_term-0.12.1,0,0,
dirs-sys-0.5.0,0,0,
arc-swap-1.9.1,7,0,default::load_parallel_large;default::storm_link_list_large;default::storm_unroll_large;independent::load_parallel_large;independent::storm_link_list_large;independent::storm_unroll_large;tests_default::publish
dirs-sys-next-0.1.2,0,0,
colored-3.1.1,0,0,
errno-0.3.14,0,0,
csv-1.4.0,0,0,
crossbeam-channel-0.5.15,3,9,chan::main;default_only;fire;intervals;ready;recv_race;recv_two;select;stress_clone;stress_default;try_recv;use_while_exiting
fixedbitset-0.5.7,0,0,
either-1.16.0,0,0,
async-trait-0.1.89,1,0,ui
anyhow-1.0.102,1,0,ui
form_urlencoded-1.2.2,0,0,
crossbeam-utils-0.8.21,1,0,issue_748
futures-task-0.3.32,0,0,
event-listener-strategy-0.5.4,0,0,
constant_time_eq-0.5.0,0,6,exhaustive_test_ones_generic;exhaustive_test_ones_simd;exhaustive_test_random_generic;exhaustive_test_random_simd;exhaustive_test_zeros_generic;exhaustive_test_zeros_simd
foreign-types-0.5.0,0,0,
