crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,bsan_status,bsan_mean_s,bsan_min_s,bsan_max_s
crossbeam-channel-0.5.15,never_same_channel,success,0.11450527000000002,0.10830772200000001,0.12334565,success,13.928863651199999,13.774886316,14.013993063,,,,
crossbeam-channel-0.5.15,nonblock::main,success,0.1193060323,0.116359849,0.12235127700000001,success,14.973100811200002,14.847705338,15.04777383,,,,
crossbeam-channel-0.5.15,once_blocks,success,0.11281071170000001,0.10508723900000001,0.11949683000000001,success,13.786030557199998,13.660994897,14.02818744,,,,
crossbeam-channel-0.5.15,once_receiver,success,0.1113624108,0.105161313,0.12044695100000001,success,13.8408560628,13.77727958,13.911563683,,,,
crossbeam-channel-0.5.15,once_sender,success,0.11295207609999999,0.108658078,0.11624708900000001,success,13.8229896354,13.695010481,14.088798313,,,,
crossbeam-channel-0.5.15,optional,success,0.11994078370000001,0.115818109,0.127163238,success,14.0458857852,13.939010559,14.121729133,,,,
crossbeam-channel-0.5.15,panic_on_drop,success,0.14112374530000002,0.135750026,0.153851016,success,14.02720693,13.53147323,14.311917905,,,,
crossbeam-channel-0.5.15,panic_receiver,success,0.1105455909,0.108390576,0.114353228,success,13.729898524800001,13.534724531,13.891981694,,,,
crossbeam-channel-0.5.15,panic_sender,success,0.11403844380000001,0.109805886,0.11965935000000001,success,14.1462757948,13.70534781,14.813192354,,,,
crossbeam-channel-0.5.15,parse_nesting,success,0.1126711462,0.11030933600000001,0.120520445,success,14.079127570599999,13.759339377,14.383615628,,,,
crossbeam-channel-0.5.15,preflight1,success,0.11614684199999999,0.112933529,0.12021477500000001,success,14.250442540399998,14.011625778,14.385003477,,,,
crossbeam-channel-0.5.15,preflight2,success,0.11803360260000002,0.11394347,0.124452955,success,14.405257996,14.161697391,14.54153135,,,,
crossbeam-channel-0.5.15,preflight3,success,0.11522341450000002,0.11036154000000001,0.11988301100000001,success,14.700170613000001,14.589350319,14.922465788,,,,
crossbeam-channel-0.5.15,recv,success,14.241694050200001,14.234574408,14.259532417,success,14.995650283200002,14.897669272,15.150910046,,,,
crossbeam-channel-0.5.15,recv_after_disconnect,success,0.1306145178,0.12629036600000002,0.13704385300000002,success,14.3392629446,14.284616534,14.372274125,,,,
crossbeam-channel-0.5.15,recv_in_send,success,0.6356419276,0.626493313,0.6477484050000001,success,14.8113660748,14.63882451,14.900308596,,,,
crossbeam-channel-0.5.15,recv_into_iter_borrowed,success,0.11687946279999999,0.114428179,0.12455618800000001,success,14.258057342400003,14.149705405,14.452346269,,,,
crossbeam-channel-0.5.15,recv_into_iter_owned,success,0.12101945530000002,0.11688256300000001,0.12695135000000002,success,14.113068914600001,13.942005704,14.223820395,,,,
crossbeam-channel-0.5.15,recv_iter_break,success,0.11618239080000001,0.11174616700000001,0.12191024,success,14.410833473600002,14.319175745,14.508539025,,,,
crossbeam-channel-0.5.15,recv_timeout,success,7.216285494999999,7.155358433,7.2737396610000005,success,15.845193710199998,15.677643192,15.966355481,,,,
crossbeam-channel-0.5.15,recv_try_iter,success,0.1197523509,0.118419166,0.12366628,success,14.619137456400003,14.152821419,14.840878281,,,,
crossbeam-channel-0.5.15,references,success,0.11197216489999999,0.107968873,0.11438782200000001,success,13.6837028076,13.511485049000001,13.928259595,,,,
crossbeam-channel-0.5.15,result_types,success,0.11411186250000001,0.10839377300000001,0.130248624,success,13.851825098599999,13.812557442,13.888703163,,,,
crossbeam-channel-0.5.15,reuse,success,0.19335786820000003,0.186628543,0.19929516900000002,success,17.175176514999997,16.892684551,17.363878075,,,,
crossbeam-channel-0.5.15,same_variable_name,success,0.11122267030000002,0.10749700400000001,0.11878551600000001,success,13.815350458200001,13.631068392,14.056263336,,,,
crossbeam-channel-0.5.15,select2::main,success,0.2277458894,0.217957112,0.251848559,success,24.128304786799998,24.000962142,24.23851221,,,,
crossbeam-channel-0.5.15,select4::main,success,0.1189967373,0.11625009800000001,0.123171132,success,14.055180294000001,13.916119979,14.201519531,,,,
crossbeam-channel-0.5.15,select6::main,success,0.11820727640000002,0.11406835200000001,0.123113101,success,14.2415636586,14.122886288,14.330169208000001,,,,
crossbeam-channel-0.5.15,select7::main,success,0.11853520960000004,0.116489303,0.120734646,success,14.8220084328,14.727863534,14.961409623,,,,
crossbeam-channel-0.5.15,select::main,success,0.11900594420000002,0.11484928000000001,0.124883089,success,14.3208768526,14.214663508,14.481836416,,,,
crossbeam-channel-0.5.15,select_tests::both_ready,success,0.11832207380000001,0.114254981,0.12413000700000001,success,13.9826459414,13.855387153,14.129413209,,,,
crossbeam-channel-0.5.15,select_tests::cloning,success,0.1211604588,0.118758052,0.125615123,success,14.3610385132,14.157490015,14.700090779,,,,
crossbeam-channel-0.5.15,select_tests::cloning2,success,0.11936197280000001,0.11500544400000001,0.12218643200000001,success,14.580303100200002,14.42349716,14.724663634,,,,
crossbeam-channel-0.5.15,select_tests::cloning3,success,0.12003456520000003,0.11591184500000001,0.12199037300000001,success,14.4439973974,14.338390039,14.527287557,,,,
crossbeam-channel-0.5.15,select_tests::closed,success,0.12003726160000001,0.116284434,0.127690973,success,13.8638707512,13.721944173,14.099881864,,,,
