crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,aa4e1ea-bsan_status,aa4e1ea-bsan_mean_s,aa4e1ea-bsan_min_s,aa4e1ea-bsan_max_s
ansi_term-0.12.1,ansi::test::rgb_on_rgb,success,0.09345691120000002,0.090485692,0.101831161,success,1.3298664378000002,1.266529896,1.425241464,success,1.1724202924,1.169318029,1.17405776
ansi_term-0.12.1,ansi::test::stricken,success,0.09774629790000001,0.092077066,0.11332413300000001,success,1.2712731888,1.258483988,1.283152028,success,1.1653415606000002,1.154228239,1.177924862
ansi_term-0.12.1,ansi::test::test_infix,success,0.09324227900000001,0.088626593,0.101449595,success,1.3219319102,1.270612655,1.429028417,success,1.171368047,1.16718611,1.177826121
ansi_term-0.12.1,ansi::test::underline,success,0.09358817080000001,0.09021648,0.09862767,success,1.2673220034,1.236512811,1.308235442,success,1.179645489,1.1757587680000001,1.186885752
ansi_term-0.12.1,ansi::test::yellow_bold,success,0.0924897451,0.08875732400000001,0.097642853,success,1.254340031,1.2395150670000001,1.296676105,success,1.1750953582,1.172571332,1.178492871
ansi_term-0.12.1,ansi::test::yellow_bold_2,success,0.09454026970000001,0.089962868,0.09927936100000001,success,1.29759336,1.2209202590000001,1.44133885,success,1.1485717885999998,1.075212689,1.173871365
ansi_term-0.12.1,ansi::test::yellow_on_blue,success,0.0970202043,0.088912738,0.116409306,success,1.2768827066,1.248831107,1.305902767,success,1.1826848342000003,1.176439599,1.189727548
ansi_term-0.12.1,ansi::test::yellow_on_blue_2,success,0.09498690230000002,0.087946884,0.119024814,success,1.2641006166,1.244548949,1.289021691,success,1.176100944,1.16921342,1.1838711530000001
ansi_term-0.12.1,debug::test::bold,success,0.09623216450000002,0.089309736,0.120084778,success,1.2659196620000002,1.211486394,1.361740786,success,1.1775849996,1.1676560440000001,1.190969365
ansi_term-0.12.1,debug::test::both,success,0.10170007919999999,0.09133123800000001,0.13545690200000002,success,1.2617706242,1.216090662,1.285738373,success,1.1611268224,1.151054858,1.170027207
ansi_term-0.12.1,debug::test::empty,success,0.09552087070000001,0.087974983,0.107701132,success,1.2578152081999998,1.246075976,1.268458588,success,1.1684284752,1.1641018060000001,1.175649615
ansi_term-0.12.1,debug::test::everything,success,0.100385755,0.090552065,0.111349054,success,1.2744898298000003,1.220646226,1.368537836,success,1.1672924294000002,1.160311075,1.174807066
ansi_term-0.12.1,debug::test::italic,success,0.09573232370000001,0.090152482,0.10464534900000001,success,1.2437640228,1.211748715,1.259206429,success,1.168147485,1.156272429,1.176281382
ansi_term-0.12.1,debug::test::long_and_detailed,success,0.09675402260000002,0.09304437500000001,0.100571145,success,32.444280572400004,32.278004235,32.909171754,success,26.5534941764,26.140375859,26.721802212
ansi_term-0.12.1,debug::test::red,success,0.10153115320000002,0.093730529,0.133851291,success,1.2516366042,1.241327227,1.264154115,success,1.130786483,1.100371893,1.162964131
ansi_term-0.12.1,debug::test::redblue,success,0.09939189410000002,0.09124249100000001,0.11438875600000001,success,1.282743986,1.253536815,1.321236668,success,1.102088312,1.093522048,1.122819754
ansi_term-0.12.1,difference::test::addition_of_blink,success,0.0992160322,0.092756533,0.11703110700000001,success,1.2332115858000001,1.214159085,1.257157947,success,1.0914234544,1.040708951,1.112078178
ansi_term-0.12.1,difference::test::addition_of_dimmed,success,0.0967148495,0.090620237,0.10712025200000001,success,1.2165122182,1.191278172,1.2370347910000001,success,1.1422802528000002,1.0866437740000001,1.180952367
ansi_term-0.12.1,difference::test::addition_of_hidden,success,0.09825289060000002,0.090406415,0.10882823200000001,success,1.2500548668,1.189922518,1.316289486,success,1.1742387386000002,1.17013833,1.177869269
ansi_term-0.12.1,difference::test::addition_of_reverse,success,0.0980811859,0.094006379,0.103431912,success,1.2195827434,1.214995659,1.22425661,success,1.1771804996,1.168390319,1.183760724
ansi_term-0.12.1,difference::test::addition_of_strikethrough,success,0.09587239700000001,0.089918803,0.11217365300000001,success,1.2186842922,1.188977418,1.235065117,success,1.1732149031999999,1.160597135,1.179951762
ansi_term-0.12.1,difference::test::colour_change,success,0.1007633846,0.092994347,0.12705787200000002,success,1.2568824134,1.205082419,1.3583127720000001,success,1.183615488,1.155275112,1.194452081
ansi_term-0.12.1,difference::test::lowercase,success,0.09690016500000001,0.093449688,0.10351562600000001,success,1.221287947,1.208254154,1.236618869,success,1.1428748854000002,1.134460374,1.161069183
ansi_term-0.12.1,difference::test::nothing,success,0.0973895252,0.09377951500000001,0.10768302,success,1.2224533018000001,1.207707762,1.235106429,success,1.1476962715999999,1.141401416,1.15524991
ansi_term-0.12.1,difference::test::nothing2,success,0.10118650340000002,0.09258430200000001,0.132312961,success,1.2527566183999999,1.211033739,1.351456507,success,1.1445900227999999,1.136331594,1.157319622
ansi_term-0.12.1,difference::test::removal_of_blink,success,0.09723732580000001,0.09232491300000001,0.10319931700000001,success,1.231300417,1.195507982,1.290189572,success,1.1551662548,1.140372084,1.1667484830000001
ansi_term-0.12.1,difference::test::removal_of_dimmed,success,0.09411305130000001,0.09066001800000001,0.099459881,success,1.217164187,1.192438371,1.249204029,success,1.107907832,1.099808221,1.121302319
ansi_term-0.12.1,difference::test::removal_of_hidden,success,0.0974206652,0.090765063,0.101998927,success,1.2229075557999998,1.195228298,1.234763406,success,1.1029340417999998,1.090743408,1.127961729
ansi_term-0.12.1,difference::test::removal_of_reverse,success,0.0927679802,0.089522535,0.09534363000000001,success,1.2111285106,1.1878241250000001,1.242363743,success,1.0959236248,1.0859233050000001,1.106729519
ansi_term-0.12.1,difference::test::removal_of_strikethrough,success,0.09635065420000001,0.08980706000000001,0.10456385300000001,success,1.2442626624000002,1.200983971,1.36169212,success,1.161222959,1.139378387,1.185039784
ansi_term-0.12.1,difference::test::uppercase,success,0.09803746170000001,0.08808544700000001,0.12576952,success,1.2242275316,1.19784168,1.2532903210000002,success,1.17447198,1.159606007,1.179825064
ansi_term-0.12.1,display::tests::no_control_codes_for_plain,success,0.0966711184,0.088104053,0.10239302500000001,success,1.2228626946000003,1.205232502,1.239725109,success,1.1730066674,1.168045839,1.178631119
ansi_term-0.12.1,util::test::test,success,0.09484911160000001,0.08833777300000001,0.10237354900000001,success,1.2524341234,1.204961841,1.360814892,success,1.1685033411999999,1.120023778,1.189264373
anstream-1.0.0,adapter::strip::test::test_strip_byte_del,,,,,success,1.4160519002,1.409648059,1.425101836,,,,
anstream-1.0.0,adapter::strip::test::test_strip_byte_multibyte,,,,,success,1.3953838191999999,1.386782793,1.410551419,,,,
anstream-1.0.0,adapter::strip::test::test_strip_bytes_multibyte,,,,,success,1.4350991398,1.417369942,1.462997739,,,,
anstream-1.0.0,adapter::strip::test::test_strip_str_del,,,,,success,1.3583562178000002,1.308312227,1.4123177550000001,,,,
anstream-1.0.0,adapter::strip::test::test_strip_str_handles_broken_sequence,,,,,success,1.4312103216,1.38857406,1.49563551,,,,
anstream-1.0.0,adapter::wincon::test::ansi256_colors,,,,,success,1.3971033821999999,1.3641240510000001,1.426826707,,,,
anstream-1.0.0,adapter::wincon::test::end,,,,,success,1.3820263188,1.3641149399999999,1.393706377,,,,
anstream-1.0.0,adapter::wincon::test::middle,,,,,success,1.3775338112,1.35299812,1.407253875,,,,
anstream-1.0.0,adapter::wincon::test::start,,,,,success,1.3775654388,1.336145806,1.445800328,,,,
anstream-1.0.0,stream::tests::test,,,,,success,1.3378436186,1.309299244,1.376729098,,,,
anstyle-1.0.14,color::test::max_display_buffer,success,0.18234373480000005,0.07971852800000001,0.947846689,success,1.2022447406,1.167618988,1.283489946,success,1.1710095470000002,1.152945306,1.18022792
anstyle-1.0.14,color::test::no_align,success,0.18689710870000004,0.08145701400000001,0.6171707510000001,success,1.2194537850000002,1.2085385450000001,1.230912719,success,1.1736226159999998,1.1645359769999999,1.182361748
anstyle-1.0.14,color::test::print_size_of,success,0.19038294980000003,0.079559321,0.8328827740000001,success,1.1832458326,1.176364292,1.197609616,success,1.1645656668000002,1.147059454,1.174291259
anstyle-1.0.14,effect::test::no_align,success,0.11378983740000001,0.085745492,0.136015465,success,1.1325369146000002,1.11387978,1.162888547,success,1.1733116276,1.166256021,1.181987499
anstyle-1.0.14,effect::test::print_size_of,success,0.1058799161,0.079689356,0.15160985500000002,success,1.1196735936000002,1.079870877,1.149796552,success,1.1791817251999999,1.171193094,1.184647662
anstyle-1.0.14,reset::test::no_align,success,0.11504362100000001,0.081236818,0.22114645300000002,success,1.1147101848,1.089914634,1.159177389,success,1.155900937,1.067349676,1.187581996
anstyle-1.0.14,reset::test::print_size_of,success,0.098346076,0.079165503,0.173222169,success,1.0948961976,1.058174414,1.151082501,success,1.1817069608000002,1.172204965,1.187054044
anstyle-1.0.14,style::print_size_of,success,0.12919020369999995,0.07946410100000001,0.28391786,success,1.1653062511999999,1.084043234,1.274663208,success,1.179850389,1.167675642,1.185246837
anstyle-query-1.1.5,test::non_empty_empty,success,0.04383783250000001,0.042615157,0.046411855,success,1.02454384,0.9917363060000001,1.053484834,success,1.1423222981999999,1.137450237,1.150165543
anstyle-query-1.1.5,test::non_empty_not_present,success,0.043783388500000006,0.042087768000000005,0.046798078,success,1.010356415,0.9843222150000001,1.057491936,success,1.1190788102,1.108437859,1.1396152370000001
anstyle-query-1.1.5,test::non_empty_texty,success,0.042714278,0.041141386,0.046230650000000005,success,1.0444255938000002,1.003783908,1.100479127,success,1.1274015652,1.121395153,1.132586048
anyhow-1.0.102,fmt::tests::no_digits,success,0.19389687870000002,0.18704922000000002,0.202435906,success,11.433058548,11.255258169,11.609932094,success,15.4147712486,15.276968756,15.666909306
anyhow-1.0.102,fmt::tests::one_digit,success,0.19535471510000002,0.192306377,0.201133856,success,11.3539075366,11.075636769,11.648681179,success,15.4306674504,15.209053348,15.79348763
anyhow-1.0.102,fmt::tests::two_digits,success,0.1946854536,0.18906877500000002,0.202157165,success,11.5368949926,11.472091839,11.632207675,success,15.678561574199998,15.426817155,15.879857458
anyhow-1.0.102,test_altdebug,success,0.1970955183,0.189100878,0.20827788700000002,success,11.893097643,11.726620219,12.133622813,success,15.606977827600002,15.327286747,15.819168984000001
anyhow-1.0.102,test_altdisplay,success,0.19270932879999997,0.18875392000000002,0.19955877900000002,success,11.624977476999998,11.548465238,11.727513713,success,15.4758472128,14.70206361,15.805657092
anyhow-1.0.102,test_anyhow_from_anyhow,success,0.1908079378,0.18470545000000002,0.197911268,success,11.5615799486,11.293417368,12.317460092,success,15.675477266000001,15.267925247,16.165963793
anyhow-1.0.102,test_as,success,0.192206163,0.18836639100000002,0.19471148100000002,success,12.076421048,11.837222014,12.275817255,success,15.674391206600001,15.455830238,16.007055579
anyhow-1.0.102,test_as_ref,success,0.1957006886,0.189388566,0.202674718,success,11.4465637808,11.323244739,11.544016357,success,15.655735655799997,15.282806435,15.948035151
anyhow-1.0.102,test_atom,success,0.1952008822,0.189618152,0.2037353,success,11.673613601000001,11.464366506,11.829318298,success,15.5679674202,15.30120129,15.655821026
anyhow-1.0.102,test_autotraits,success,0.1923889563,0.184149583,0.20415154100000002,success,11.415727973200001,11.234356735,11.56832612,success,15.562325788,15.260826433,16.014907777
anyhow-1.0.102,test_backtrace,success,0.1934971195,0.19026779800000002,0.200548695,success,11.483628461799999,11.274192463,11.706014534,success,15.625742124799999,15.432652296,15.810007628
anyhow-1.0.102,test_boxed_anyhow,success,0.1952816088,0.18842356100000002,0.205839775,success,11.4892181674,11.385326915,11.565835684,success,15.459752345800002,15.277050003,15.741883165
anyhow-1.0.102,test_boxed_str,success,0.1964269267,0.18934076800000002,0.206552757,success,11.4149519068,11.262741502,11.536375491,success,15.5999482026,15.30016131,15.737781727
anyhow-1.0.102,test_boxed_thiserror,success,0.19503508370000003,0.188537799,0.20499114300000001,success,11.4546421762,11.363542814,11.65394007,success,15.4745214608,15.324713315,15.562002748
anyhow-1.0.102,test_brace_escape,success,0.1948579518,0.18849317000000002,0.20443338700000002,success,11.537695279400001,11.467448149,11.713086094,success,15.411912830199999,15.209465766,15.657804153
anyhow-1.0.102,test_clone,success,0.1912857051,0.186827661,0.20299402400000002,success,11.512769191999999,11.329827513,11.744392813,success,15.479423301599999,15.309039826,15.595296734
anyhow-1.0.102,test_closure,success,0.1938035045,0.189809776,0.199788233,success,11.565990253799999,11.358720112,11.868566174,success,15.5566703598,15.327534552,15.730276024
anyhow-1.0.102,test_convert,success,0.19615772420000002,0.19310623100000002,0.20299249100000002,success,11.4816454326,11.342245325,11.566982893,success,15.490532472799998,15.184834482,15.770036102
anyhow-1.0.102,test_convert_send,success,0.19574456590000003,0.189717517,0.204208775,success,11.4784031948,11.398952421,11.577566157,success,15.511210741400001,15.293222971,15.604698003
anyhow-1.0.102,test_convert_send_sync,success,0.1949268414,0.191195624,0.20272007800000003,success,11.4421407244,11.324403663,11.580112761,success,15.543582746200002,15.283806036,15.783105022
anyhow-1.0.102,test_debug,success,0.1925392529,0.18656872600000002,0.198879722,success,11.607251134399998,11.543114526,11.701299422,success,15.517521681,15.221988649,15.746776006
anyhow-1.0.102,test_default,success,0.19403683850000003,0.19052955000000002,0.198086277,success,11.4027572464,11.256111698,11.570361109,success,15.514679141799999,15.360868067,15.634069205
anyhow-1.0.102,test_display,success,0.19475694320000003,0.18870998,0.202011416,success,11.512725782599999,11.425151371,11.656504156,success,15.517531613,15.276242332,15.721855012
anyhow-1.0.102,test_downcast,success,0.1934424244,0.186367792,0.19808608900000002,success,11.539563555800001,11.235354799,11.758784097,success,15.426967577,15.24147822,15.689884611
anyhow-1.0.102,test_downcast_high,success,0.19215666660000003,0.18797605,0.19663919800000002,success,11.4667787324,11.297237467,11.681360427,success,15.412919220600003,15.077959056,15.660040619
anyhow-1.0.102,test_downcast_low,success,0.1949773163,0.19034076900000002,0.203383365,success,11.5397635156,11.326557944,11.817815152,success,15.5735881038,15.185895742,15.810096209
anyhow-1.0.102,test_downcast_mid,success,0.1943878177,0.18842213300000002,0.20061319300000002,success,11.573940774999999,11.383840279,11.666424286,success,15.5605031308,15.30790249,15.709975749
anyhow-1.0.102,test_downcast_mut,success,0.19731623610000001,0.191309783,0.20177751200000002,success,11.522962107999998,11.355621687,11.658022034,success,15.5948020474,15.24159145,15.866234276
anyhow-1.0.102,test_downcast_ref,success,0.19196895149999998,0.187874395,0.19704748900000002,success,11.7018909162,11.620492176,11.793353009,success,15.6359521728,15.355571386,15.799910067
anyhow-1.0.102,test_drop,success,0.19710121560000005,0.192582474,0.203963783,success,11.6228834574,11.519420022,11.676383448,success,15.6829407888,15.498783439,15.837510672
anyhow-1.0.102,test_ensure,success,0.196189594,0.18237393600000001,0.256596571,success,11.5968908252,11.416155383,11.834959409,success,15.552368545000002,15.287973317,15.712011942
anyhow-1.0.102,test_ensure_nonbool,success,0.1915165023,0.18521247200000002,0.200650597,success,11.533990367,11.361426148,11.802900775,success,15.598338635400001,15.262965733,15.834006923
anyhow-1.0.102,test_error_size,success,0.19557167430000005,0.18790246800000002,0.21342605,success,11.4434853214,11.205288352,11.634703251,success,15.354579485799999,15.164767072,15.685251882
anyhow-1.0.102,test_fmt_source,success,0.1903319121,0.18484235000000002,0.19445257200000002,success,11.939839208,11.768368129,12.071288598,success,15.511944354799999,15.361317097,15.69902871
anyhow-1.0.102,test_high_precedence_binary_operator,success,0.19393358060000002,0.18782525900000002,0.197939461,success,11.6500525924,11.471813726,11.760124718,success,15.6297757376,15.326986739,15.855859844
anyhow-1.0.102,test_if,success,0.1928555107,0.187550613,0.197784267,success,11.6834551444,11.560297675,11.827397691,success,15.6041873552,15.47390418,15.738877611
anyhow-1.0.102,test_inference,success,0.19378623030000003,0.191715817,0.19773976100000001,success,11.501931051799998,11.305979996,11.676596899,success,15.5053201376,15.272870588,15.688882236
anyhow-1.0.102,test_io_source,success,0.1905425165,0.183610243,0.196366695,success,12.0322913172,11.814234181,12.337093061000001,success,15.672377942,15.377808954,16.104668642
