crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
crossbeam-channel-0.5.15,"8,522,401","78,534,842","9.2 (318,786)","22,835,108","2.7 (32,096)","14,302,991","1.7 (3,300)","3,660,298,662","429.5 (16,098,221)","1,949,208,756","228.7 (26,739,548)","18,355","36,749,269","4.3 (317,973)","691,248",{}
crossbeam-deque-0.8.6,"782,068","7,096,309","9.1 (32,187)","2,080,816","2.7 (3,289)","1,309,952",1.7 (391),"336,214,425","429.9 (3,173,962)","174,646,218","223.3 (1,866,573)","1,671","3,230,543","4.1 (30,196)","58,291",{}
crossbeam-queue-0.3.12,"492,713","4,529,837","9.2 (32,187)","1,304,515","2.6 (3,289)","819,795",1.7 (391),"208,154,969","422.5 (3,169,061)","110,400,602","224.1 (1,863,142)","1,038","2,086,141","4.2 (30,196)","37,101",{}
crossbeam-utils-0.8.21,"2,008,806","18,275,505","9.1 (32,187)","5,306,683","2.6 (3,289)","3,336,570",1.7 (391),"874,003,709","435.1 (3,152,374)","459,958,240","229.0 (1,865,049)","4,286","8,398,458","4.2 (30,196)","149,163",{}
csv-1.4.0,"6,338,885","56,891,507","9.0 (63,560)","16,952,520","2.7 (22,555)","10,702,348","1.7 (13,330)","2,669,268,877","421.1 (9,585,925)","1,628,337,350","256.9 (208,867,480)","13,603","26,467,490","4.2 (42,419)","452,926",{}
der-0.8.0,"2,556,449","23,283,711","9.1 (32,187)","6,758,029","2.6 (3,289)","4,241,905",1.7 (391),"1,094,061,175","428.0 (3,124,745)","588,139,547","230.1 (1,874,572)","5,493","10,965,503","4.3 (30,196)","189,306",{}
dirs-sys-0.5.0,"351,537","2,933,935","8.3 (32,187)","930,230","2.6 (3,289)","570,777",1.6 (391),"133,361,482","379.4 (3,169,156)","69,410,675","197.4 (1,863,168)",666,"1,274,696","3.6 (30,196)","23,616",{}
dirs-sys-next-0.1.2,"352,757","2,943,597","8.3 (32,187)","933,269","2.6 (3,289)","572,403",1.6 (391),"129,747,078","367.8 (3,124,514)","70,646,739","200.3 (1,848,766)",666,"1,300,396","3.7 (30,196)","23,622",{}
dyn-clone-1.0.20,"232,941","2,116,276","9.1 (32,187)","616,097","2.6 (3,289)","386,829",1.7 (391),"100,206,929","430.2 (3,169,202)","52,060,885","223.5 (1,863,222)",506,"999,370","4.3 (30,196)","17,288",{}
either-1.16.0,"241,804","2,168,229","9.0 (32,165)","639,118","2.6 (3,289)","401,904",1.7 (514),"101,712,523","420.6 (3,045,284)","53,630,730","221.8 (1,858,433)",510,"991,519","4.1 (30,174)","20,117",{}
encoding_rs-0.8.35,"10,098,284","71,899,104","7.1 (623,485)","30,070,075","3.0 (93,602)","16,605,765","1.6 (8,512)","2,648,974,483","262.3 (44,335,292)","7,150,112,139","708.1 (88,309,070)","13,867","25,841,835","2.6 (349,219)","927,664",{}
erased-serde-0.4.10,"587,541","5,355,214","9.1 (31,977)","1,554,219","2.6 (3,289)","975,865",1.7 (391),"254,517,972","433.2 (3,109,117)","132,782,010","226.0 (1,830,432)","1,296","2,540,460","4.3 (29,986)","43,682",{}
errno-0.3.14,"136,886","1,231,785","9.0 (31,599)","360,660","2.6 (3,289)","227,773",1.7 (391),"55,344,108","404.3 (2,991,582)","29,269,499","213.8 (1,779,845)",289,"576,201","4.2 (29,648)","10,087",{}
event-listener-5.4.1,"376,675","3,400,096","9.0 (32,187)","997,382","2.6 (3,289)","627,455",1.7 (391),"160,598,268","426.4 (3,168,908)","81,930,812","217.5 (1,863,104)",799,"1,548,429","4.1 (30,196)","28,248",{}
event-listener-strategy-0.5.4,"66,762","605,764","9.1 (32,187)","176,501","2.6 (3,289)","110,923",1.7 (391),"28,798,975","431.4 (3,172,002)","15,037,666","225.2 (1,865,374)",142,"279,906","4.2 (30,196)","4,909",{}
fixedbitset-0.5.7,"3,002,085","25,856,596","8.6 (627,544)","9,096,116","3.0 (329,797)","5,481,309","1.8 (93,375)","1,228,208,209","409.1 (184,706,045)","3,128,373,184","1042.1 (947,450,864)","6,053","10,743,577","3.6 (572,733)","226,146",{}
futures-task-0.3.32,"34,564","310,598","9.0 (31,977)","90,778","2.6 (3,289)","57,304",1.7 (391),"14,216,582","411.3 (3,151,588)","7,541,489","218.2 (1,858,382)",72,"144,382","4.2 (29,986)","2,526",{}
futures-util-0.3.32,"34,522","311,794","9.0 (32,187)","91,296","2.6 (3,289)","57,498",1.7 (391),"14,424,981","417.8 (3,169,248)","7,511,616","217.6 (1,863,244)",74,"145,101","4.2 (30,196)","2,509",{}
generic-array-1.4.2,"102,510","925,700","9.0 (31,977)","270,611","2.6 (3,289)","170,432",1.7 (391),"42,579,248","415.4 (3,109,794)","22,414,302","218.7 (1,815,847)",219,"431,196","4.2 (29,986)","7,525",{}
generic-array-1.4.3,"102,877","928,664","9.0 (32,187)","271,578","2.6 (3,289)","170,891",1.7 (391),"43,082,425","418.8 (3,169,202)","22,433,128","218.1 (1,863,222)",219,"434,339","4.2 (30,196)","7,523",{}
getrandom-0.4.2,"295,005","2,687,190","9.1 (32,187)","780,158","2.6 (3,289)","489,453",1.7 (391),"126,624,067","429.2 (3,125,773)","67,772,400","229.7 (1,869,995)",639,"1,274,721","4.3 (30,196)","21,876",{}
gimli-0.33.0,"29,087,801","264,488,630","9.1 (4,875,312)","96,171,435","3.3 (1,374,080)","60,968,756","2.1 (454,128)","11,717,829,370","402.8 (436,585,884)","70,002,091,966","2406.6 (35,226,349,583)","55,865","124,503,077","4.3 (4,628,360)","5,984,376",{}
half-2.7.1,"1,409,139","12,339,403","8.8 (32,187)","3,719,702","2.6 (3,995)","2,380,755","1.7 (1,672)","554,246,883","393.3 (3,138,687)","283,930,068","201.5 (1,825,219)","2,842","5,462,632","3.9 (30,196)","104,438",{}
hashbrown-0.17.1,"3,476,092","31,656,761","9.1 (32,165)","9,188,303","2.6 (3,289)","5,767,111",1.7 (391),"1,491,034,009","428.9 (3,109,957)","789,869,995","227.2 (1,823,581)","7,632","14,974,781","4.3 (30,174)","257,746",{}
hashlink-0.11.0,"1,900,965","17,318,290","9.1 (32,187)","5,028,589","2.6 (3,289)","3,154,105",1.7 (391),"826,221,900","434.6 (3,169,230)","430,879,435","226.7 (1,863,240)","4,176","8,239,674","4.3 (30,196)","140,994",{}
