crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
crossbeam-queue-0.3.12,"5,075,213","110,763,626","21.8 (40,698,733)","16,627,126","3.3 (300,002)","9,385,792","1.8 (100,002)","1,396,923,992","275.2 (356,113,496)","19,703,927,425","3882.4 (6,174,971,157)","6,458","74,779,220","14.7 (39,791,492)","195,141"
crossbeam-utils-0.8.21,"2,005,116","16,443,990","8.2 (1,932,785)","5,176,704","2.6 (200,629)","3,333,803","1.7 (23,851)","789,691,949","393.8 (154,946,466)","621,694,867","310.1 (194,593,538)","4,166","8,148,452","4.1 (1,813,713)","149,047"
crypto-bigint-0.7.3,"31,509,643","309,234,288","9.8 (16,149,723)","87,296,926","2.8 (1,706,991)","55,626,383","1.8 (202,929)","11,662,010,758","370.1 (1,411,220,506)","39,147,414,511","1242.4 (11,623,921,133)","68,679","130,874,804","4.2 (15,157,395)","3,394,093"
csv-1.4.0,"6,390,725","55,173,924","8.6 (5,612,145)","16,988,416","2.7 (582,153)","10,775,937","1.7 (69,207)","2,620,835,448","410.1 (533,937,669)","2,133,666,675","333.9 (563,847,129)","13,109","24,690,207","3.9 (5,266,635)","452,777"
der-0.8.0,"2,541,593","19,694,799","7.7 (2,456,766)","6,478,743","2.5 (256,542)","4,225,934","1.7 (30,498)","1,071,458,566","421.6 (225,400,110)","792,576,518","311.8 (248,272,986)","5,305","10,271,461","4.0 (2,304,510)","189,322"
dirs-sys-0.5.0,"350,984","2,659,696","7.6 (285,471)","910,743","2.6 (29,601)","570,408","1.6 (3,519)","128,286,215","365.5 (26,803,278)","94,167,687","268.3 (28,623,447)",657,"1,215,802","3.5 (267,903)","22,982"
dirs-sys-next-0.1.2,"352,165","2,666,484","7.6 (285,273)","913,576","2.6 (29,601)","571,985","1.6 (3,519)","122,521,236","347.9 (24,686,019)","94,550,185","268.5 (28,826,487)",657,"1,256,045","3.6 (267,705)","22,982"
dyn-clone-1.0.20,"232,514","1,865,735","8.0 (222,033)","598,238","2.6 (23,023)","386,554","1.7 (2,737)","95,731,173","411.7 (20,411,650)","71,699,354","308.4 (22,373,400)",487,"957,082","4.1 (208,369)","17,240"
either-1.16.0,"242,245","1,939,749","8.0 (221,312)","624,364","2.6 (23,023)","402,733","1.7 (2,737)","97,876,017","404.0 (20,220,984)","73,573,448","303.7 (22,917,195)",510,"951,292","3.9 (207,648)","20,098"
encoding_rs-0.8.35,"148,251,762","828,683,209","5.6 (79,403,166)","445,008,061","3.0 (5,642,925)","220,683,349","1.5 (43,962)","19,572,612,664","132.0 (1,945,573,252)","184,841,625,876","1246.8 (5,671,795,601)","111,849","312,808,555","2.1 (79,177,077)","1,956,961"
erased-serde-0.4.10,"588,647","4,564,306","7.8 (570,726)","1,501,625","2.6 (59,202)","977,869","1.7 (7,038)","245,171,998","416.5 (53,966,862)","182,977,067","310.8 (57,436,884)","1,242","2,447,237","4.2 (535,590)","43,690"
errno-0.3.14,"137,757","1,092,793","7.9 (126,416)","352,838","2.6 (13,156)","228,989","1.7 (1,564)","54,184,005","393.3 (11,066,976)","41,662,011","302.4 (13,030,520)",289,"558,486","4.1 (118,608)","10,051"
event-listener-5.4.1,"359,419","2,928,313","8.1 (346,467)","932,333","2.6 (36,179)","600,170","1.7 (4,301)","149,349,176","415.5 (31,732,624)","111,971,436","311.5 (34,973,301)",764,"1,465,777","4.1 (324,995)","26,918"
event-listener-strategy-0.5.4,"66,626","532,040","8.0 (63,438)","171,166","2.6 (6,578)","110,834",1.7 (782),"27,741,724","416.4 (5,831,900)","20,341,414","305.3 (6,392,400)",140,"266,639","4.0 (59,534)","4,909"
fixedbitset-0.5.7,"11,779,413","77,454,129","6.6 (11,707,520)","39,932,500","3.4 (5,097,995)","22,555,942","1.9 (1,498,592)","2,245,381,245","190.6 (374,127,914)","46,948,499,351","3985.6 (22,297,691,112)","13,221","36,228,110","3.1 (11,507,333)","265,544"
futures-task-0.3.32,"34,606","265,769","7.7 (31,719)","87,738","2.5 (3,289)","57,402",1.7 (391),"13,909,055","401.9 (3,003,369)","10,234,203","295.7 (3,196,281)",71,"137,497","4.0 (29,767)","2,520"
futures-util-0.3.32,"34,434","266,017","7.7 (31,697)","87,926","2.6 (3,289)","57,422",1.7 (391),"13,564,576","393.9 (2,843,235)","10,261,109","298.0 (3,202,954)",71,"137,934","4.0 (29,745)","2,509"
generic-array-1.4.2,"102,634","824,510","8.0 (95,121)","263,840","2.6 (9,867)","170,720","1.7 (1,173)","41,871,029","408.0 (8,953,014)","30,625,745","298.4 (9,538,053)",216,"414,233","4.0 (89,265)","7,505"
generic-array-1.4.3,"102,634","824,515","8.0 (95,121)","263,842","2.6 (9,867)","170,720","1.7 (1,173)","41,664,982","406.0 (8,737,254)","30,750,633","299.6 (9,623,880)",216,"414,093","4.0 (89,265)","7,505"
getrandom-0.4.2,"349,290","2,825,590","8.1 (253,480)","897,299","2.6 (27,161)","575,350","1.6 (3,128)","120,609,643","345.3 (20,327,184)","93,678,483","268.2 (25,519,480)",633,"1,417,984","4.1 (237,864)","49,184"
gimli-0.33.0,"29,804,765","254,451,942","8.5 (15,187,200)","95,633,909","3.2 (1,578,720)","61,438,038","2.1 (689,760)","10,769,012,268","361.3 (1,436,914,560)","70,308,725,085","2359.0 (35,421,373,486)","54,662","119,623,585","4.0 (14,250,720)","3,303,334"
half-2.7.1,"1,396,265","11,137,546","8.0 (1,165,833)","3,614,519","2.6 (121,693)","2,361,954","1.7 (14,467)","541,647,542","387.9 (108,985,831)","386,591,553","276.9 (118,338,950)","2,786","5,039,411","3.6 (1,093,609)","102,567"
hashbrown-0.17.1,"3,471,991","28,540,449","8.2 (3,358,610)","8,980,479","2.6 (348,634)","5,768,841","1.7 (41,446)","1,413,635,323","407.2 (301,114,094)","1,075,327,098","309.7 (335,546,074)","7,211","14,383,257","4.1 (3,151,698)","257,868"
hashlink-0.11.0,"1,890,139","14,648,362","7.7 (1,826,826)","4,819,081","2.5 (190,762)","3,142,434","1.7 (22,678)","798,126,875","422.3 (167,417,000)","589,330,557","311.8 (184,430,140)","3,944","7,640,661","4.0 (1,713,610)","141,006"
hostname-0.4.2,"1,248,553","8,762,538","7.0 (1,881,235)","4,136,288","3.3 (171,513)","2,388,393","1.9 (5,224)","579,317,087","464.0 (205,258,536)","16,289,227,192","13046.5 (13,791,649,883)","2,511","4,092,492","3.3 (1,583,657)","449,489"
http-body-1.0.1,"68,163","541,905","8.0 (63,060)","174,668","2.6 (6,578)","113,409",1.7 (782),"28,081,638","412.0 (5,777,086)","20,411,352","299.4 (6,385,960)",140,"268,047","3.9 (59,154)","5,007"
httparse-1.10.1,"13,866,184","106,313,669","7.7 (11,278,074)","37,831,273","2.7 (1,177,462)","24,812,763","1.8 (281,388)","5,189,851,000","374.3 (1,016,139,682)","4,613,390,008","332.7 (1,146,944,290)","27,018","51,494,410","3.7 (10,579,258)","902,427"
hyper-1.10.1,"68,211","540,410","7.9 (62,238)","174,492","2.6 (6,578)","113,483",1.7 (782),"26,541,877","389.1 (5,208,636)","20,264,221","297.1 (6,340,498)",144,"273,346","4.0 (58,414)","5,015"
indexmap-2.14.0,"5,812,376","45,706,395","7.9 (5,569,943)","14,869,104","2.6 (588,731)","9,687,754","1.7 (69,989)","2,432,530,238","418.5 (499,591,506)","1,778,414,514","306.0 (567,242,229)","12,538","23,417,829","4.0 (5,227,695)","437,373"
inout-0.2.2,"34,219","264,700","7.7 (31,719)","87,271","2.6 (3,289)","56,931",1.7 (391),"14,253,399","416.5 (3,002,422)","10,192,905","297.9 (3,187,388)",72,"134,316","3.9 (29,767)","2,512"
is-terminal-0.4.17,"205,500","1,667,340","8.1 (190,110)","530,231","2.6 (19,734)","342,097","1.7 (2,346)","80,742,030","392.9 (16,457,100)","61,644,233","300.0 (19,195,134)",432,"834,797","4.1 (178,398)","14,949"
itertools-0.14.0,"33,790,460","177,465,384","5.3 (4,879,796)","105,047,103","3.1 (244,927)","57,688,511","1.7 (104,967)","7,365,211,364","218.0 (342,690,566)","1,659,586,696,477","49114.1 (166,063,732,912)","39,351","87,286,086","2.6 (3,791,715)","22,101,984"
itoa-1.0.18,"376,174","3,066,225","8.2 (346,467)","972,851","2.6 (36,179)","627,952","1.7 (4,301)","155,252,418","412.7 (31,782,443)","112,424,590","298.9 (35,004,662)",781,"1,476,769","3.9 (324,995)","27,443"
lazycell-1.3.0,"966,134","7,850,575","8.1 (871,332)","2,508,658","2.6 (92,092)","1,624,404","1.7 (10,948)","385,720,269","399.2 (77,769,552)","281,362,681","291.2 (87,300,444)","2,018","3,757,526","3.9 (817,796)","70,390"
libc-0.2.186,"195,978","1,522,130","7.8 (190,182)","499,573","2.5 (19,734)","325,790","1.7 (2,346)","80,783,965","412.2 (17,088,324)","60,726,664","309.9 (19,239,576)",415,"794,040","4.1 (178,470)","14,584"
linked-hash-map-0.5.6,"881,826","7,091,096","8.0 (773,475)","2,303,746","2.6 (82,225)","1,496,029","1.7 (9,775)","339,456,733","384.9 (65,694,650)","252,427,587","286.3 (77,671,650)","1,816","3,443,401","3.9 (725,675)","65,479"
log-0.4.30,"1,071,035","8,777,921","8.2 (1,015,008)","2,773,370","2.6 (105,248)","1,782,826","1.7 (12,512)","450,498,937","420.6 (95,327,968)","327,007,411","305.3 (101,794,080)","2,261","4,262,748","4.0 (952,544)","78,382"
lru-0.18.0,"11,636,972","51,802,111","4.5 (3,776,662)","22,026,833","1.9 (866,607)","16,237,297","1.4 (80,969)","1,671,003,737","143.6 (220,075,913)","1,547,100,298","132.9 (358,965,867)","9,894","19,938,510","1.7 (3,775,428)","739,529"
