crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
base64ct-1.8.3,"1,706,648","9,896,866","5.8 (161,924)","4,281,418","2.5 (7,520)","2,609,870","1.5 (6,428)","299,695,220","175.6 (7,100,038)","92,345,672","54.1 (1,076,116)","1,761","3,537,828","2.1 (161,027)",0,{}
bincode-2.0.1,"1,954,400","15,572,363","8.0 (32,187)","4,991,503","2.6 (3,289)","3,253,385",1.7 (391),"596,332,578","305.1 (2,353,650)","189,030,280","96.7 (645,004)","3,361","6,487,856","3.3 (30,487)",0,{}
bindgen-0.72.1,"1,100,836","9,687,741","8.8 (205,392)","2,905,144","2.6 (32,484)","1,904,539","1.7 (6,475)","347,453,889","315.6 (21,112,299)","129,532,318","117.7 (10,994,184)","2,077","3,763,796","3.4 (204,415)",0,{}
bit-set-0.10.0,"909,745","8,002,995","8.8 (367,656)","2,513,701","2.8 (86,595)","1,553,511","1.7 (10,002)","280,970,131","308.8 (16,229,510)","318,436,375","350.0 (113,841,564)","1,662","3,773,800","4.1 (366,962)",0,{}
bit-vec-0.9.1,"4,230,176","31,544,959","7.5 (1,298,435)","10,774,172","2.5 (152,576)","6,357,954","1.5 (73,728)","954,378,031","225.6 (65,466,814)","728,821,769","172.3 (82,088,462)","6,094","13,048,101","3.1 (1,297,696)",0,{}
block-buffer-0.12.0,"276,249","2,192,813","7.9 (32,187)","707,404","2.6 (3,289)","461,260",1.7 (391),"81,556,638","295.2 (2,360,456)","26,048,556","94.3 (642,487)",465,"889,540","3.2 (30,487)",0,{}
bumpalo-3.20.3,"170,953","1,352,752","7.9 (32,187)","436,967","2.6 (3,289)","285,154",1.7 (391),"50,582,373","295.9 (2,359,351)","16,102,845","94.2 (646,949)",290,"553,247","3.2 (30,487)",0,{}
bytemuck-1.25.0,"785,750","6,252,951","8.0 (32,187)","2,005,667","2.6 (3,289)","1,306,505",1.7 (391),"238,165,218","303.1 (2,337,868)","76,424,030","97.3 (644,825)","1,346","2,598,891","3.3 (30,487)",0,{}
byteorder-1.5.0,"11,496,116","86,296,304","7.5 (32,187)","31,545,062","2.7 (3,289)","20,977,931",1.8 (867),"3,230,942,681","281.0 (2,328,087)","1,902,515,885","165.5 (1,821,915)","18,279","34,068,476","3.0 (30,487)",0,{}
bytes-1.11.1,"19,649,580","155,819,842","7.9 (31,995)","50,160,213","2.6 (3,289)","32,692,016",1.7 (391),"5,625,546,313","286.3 (2,099,271)","1,919,143,238","97.7 (646,967)","33,444","64,789,592","3.3 (30,297)",0,{}
camino-1.2.2,"249,308","1,759,885","7.1 (32,187)","643,127","2.6 (3,289)","397,167",1.6 (391),"61,586,054","247.0 (2,338,318)","17,910,915","71.8 (645,113)",360,"608,386","2.4 (30,487)",0,{}
cc-1.2.63,"563,068","4,321,058","7.7 (75,834)","1,459,343","2.6 (6,420)","947,586","1.7 (3,237)","159,374,919","283.0 (2,801,109)","50,864,678","90.3 (706,926)",931,"1,722,259","3.1 (71,422)",0,{}
colored-3.1.1,"5,730,196","45,083,324","7.9 (656,265)","14,986,984","2.6 (156,106)","9,552,286","1.7 (28,203)","1,996,958,213","348.5 (188,612,996)","1,621,933,046","283.1 (490,897,536)","11,907","19,066,429","3.3 (654,647)",0,{}
combine-4.6.7,"2,641,795","21,051,329","8.0 (32,187)","6,752,375","2.6 (3,289)","4,399,491",1.7 (391),"806,669,627","305.3 (2,359,211)","254,841,760","96.5 (646,967)","4,539","8,763,746","3.3 (30,487)",0,{}
concurrent-queue-2.5.0,"485,484","4,778,031","9.8 (479,825)","1,340,065","2.8 (36,381)","829,503","1.7 (9,765)","152,027,500","313.1 (5,652,501)","126,861,161","261.3 (36,723,479)",879,"2,298,371","4.7 (478,392)",0,{}
const-oid-0.10.2,"4,241,650","21,049,158","5.0 (735,507)","9,323,314","2.2 (106,404)","6,198,915","1.5 (25,291)","938,375,682","221.2 (258,612,760)","1,423,801,035","335.7 (175,731,636)","5,970","9,290,263","2.2 (735,406)",0,{}
core-foundation-sys-0.8.7,"34,129","269,746","7.9 (32,187)","87,077","2.6 (3,289)","56,809",1.7 (391),"10,093,220","295.7 (2,333,071)","3,210,848","94.1 (641,295)",58,"109,304","3.2 (30,487)",0,{}
cpufeatures-0.3.0,"68,201","539,729","7.9 (32,199)","173,862","2.5 (3,289)","113,476",1.7 (391),"20,059,610","294.1 (2,318,932)","6,419,425","94.1 (644,825)",116,"218,936","3.2 (30,499)",0,{}
crc32fast-1.5.0,"8,785,154","119,078,602","13.6 (11,146,067)","38,811,861","4.4 (9,861,447)","20,024,418","2.3 (4,223,974)","4,691,225,088","534.0 (1,538,017,505)","3,524,876,457","401.2 (981,837,628)","30,967","51,333,557","5.8 (11,146,012)",0,{}
crossbeam-channel-0.5.15,"8,575,321","69,631,551","8.1 (344,175)","22,221,173","2.6 (33,835)","14,385,203","1.7 (3,300)","2,594,410,846","302.5 (18,060,180)","893,299,617","104.2 (27,155,520)","15,135","29,165,468","3.4 (343,629)",0,{}
crossbeam-deque-0.8.6,"780,032","6,205,323","8.0 (32,165)","2,006,450","2.6 (3,289)","1,309,796",1.7 (391),"232,161,093","297.6 (2,311,493)","77,589,210","99.5 (640,780)","1,319","2,512,581","3.2 (30,465)",0,{}
crossbeam-queue-0.3.12,"491,806","3,996,782","8.1 (33,568)","1,260,083","2.6 (3,289)","820,032",1.7 (391),"145,041,674","294.9 (2,342,751)","50,827,641","103.3 (646,721)",828,"1,644,079","3.3 (30,465)",0,{}
crossbeam-utils-0.8.21,"2,002,931","15,948,111","8.0 (32,187)","5,114,446","2.6 (3,289)","3,334,461",1.7 (391),"606,907,675","303.0 (2,337,142)","195,039,480","97.4 (645,004)","3,429","6,625,360","3.3 (30,487)",0,{}
csv-1.4.0,"6,305,113","49,580,242","7.9 (63,560)","16,324,018","2.6 (22,555)","10,682,464","1.7 (13,330)","1,708,145,886","270.9 (9,618,488)","858,677,819","136.2 (208,611,880)","10,503","20,392,599","3.2 (42,419)",0,{}
der-0.8.0,"2,543,914","20,236,733","8.0 (31,989)","6,491,475","2.6 (3,289)","4,233,869",1.7 (391),"766,120,414","301.2 (2,324,444)","245,640,425","96.6 (645,004)","4,374","8,362,713","3.3 (30,289)",0,{}
dirs-sys-0.5.0,"350,786","2,585,070","7.4 (32,187)","901,312","2.6 (3,289)","570,838",1.6 (391),"92,543,422","263.8 (2,359,997)","31,058,025","88.5 (641,010)",529,"999,353","2.8 (30,487)",0,{}
dirs-sys-next-0.1.2,"351,866","2,590,243","7.4 (32,187)","904,323","2.6 (3,289)","572,292",1.6 (391),"92,763,620","263.6 (2,372,650)","31,341,661","89.1 (646,967)",529,"992,627","2.8 (30,487)",0,{}
dyn-clone-1.0.20,"232,418","1,845,474","7.9 (32,187)","593,467","2.6 (3,289)","386,852",1.7 (391),"70,081,529","301.5 (2,359,254)","22,241,660","95.7 (644,825)",396,"762,227","3.3 (30,487)",0,{}
either-1.16.0,"241,202","1,900,110","7.9 (32,165)","616,936","2.6 (3,289)","401,925",1.7 (514),"71,091,311","294.7 (2,341,167)","22,850,492","94.7 (644,338)",409,"780,281","3.2 (30,465)",0,{}
encoding_rs-0.8.35,"10,065,956","66,182,718","6.6 (623,485)","29,535,638","2.9 (93,602)","16,584,773","1.6 (8,512)","2,006,173,519","199.3 (28,150,986)","6,495,131,280","645.3 (33,722,842)","11,712","21,705,182","2.2 (621,442)",0,{}
erased-serde-0.4.10,"588,563","4,681,258","8.0 (32,165)","1,502,047","2.6 (3,289)","978,764",1.7 (391),"178,448,778","303.2 (2,341,799)","57,188,136","97.2 (644,825)","1,008","1,941,819","3.3 (30,465)",0,{}
errno-0.3.14,"136,651","1,081,042","7.9 (32,187)","348,721","2.6 (3,289)","227,896",1.7 (391),"40,690,884","297.8 (2,360,372)","12,825,076","93.9 (644,825)",232,"442,712","3.2 (30,487)",0,{}
event-listener-5.4.1,"375,709","2,976,179","7.9 (32,151)","962,158","2.6 (3,289)","627,432",1.7 (391),"110,569,972","294.3 (2,304,083)","35,262,994","93.9 (641,737)",634,"1,212,651","3.2 (30,469)",0,{}
event-listener-strategy-0.5.4,"66,600","528,706","7.9 (32,187)","170,017","2.6 (3,289)","110,916",1.7 (391),"20,089,562","301.6 (2,358,409)","6,351,905","95.4 (644,287)",114,"218,892","3.3 (30,487)",0,{}
fixedbitset-0.5.7,"2,986,497","23,319,662","7.8 (627,544)","8,863,377","3.0 (329,797)","5,469,234","1.8 (93,375)","744,099,862","249.2 (19,835,172)","2,519,792,441","843.7 (888,941,635)","4,510","8,641,713","2.9 (553,557)",0,{}
futures-task-0.3.32,"34,607","272,376","7.9 (32,199)","87,841","2.5 (3,289)","57,469",1.7 (391),"10,108,708","292.1 (2,325,435)","3,224,218","93.2 (644,287)",58,"110,621","3.2 (30,499)",0,{}
futures-util-0.3.32,"34,435","272,648","7.9 (32,187)","88,028","2.6 (3,289)","57,501",1.7 (391),"10,231,667","297.1 (2,360,052)","3,231,605","93.8 (644,019)",58,"111,088","3.2 (30,487)",0,{}
generic-array-1.4.2,"102,625","810,984","7.9 (32,187)","261,767","2.6 (3,289)","170,907",1.7 (391),"30,408,063","296.3 (2,353,609)","9,640,581","93.9 (644,338)",174,"331,978","3.2 (30,487)",0,{}
generic-array-1.4.3,"102,624","811,158","7.9 (32,187)","261,850","2.6 (3,289)","170,910",1.7 (391),"30,333,553","295.6 (2,332,281)","9,628,583","93.8 (644,338)",174,"332,486","3.2 (30,487)",0,{}
getrandom-0.4.2,"294,370","2,340,788","8.0 (32,165)","751,097","2.6 (3,289)","489,470",1.7 (391),"89,184,012","303.0 (2,341,531)","28,574,855","97.1 (644,885)",504,"972,736","3.3 (30,465)",0,{}
gimli-0.33.0,"29,032,040","245,614,411","8.5 (4,875,312)","94,597,661","3.3 (1,374,080)","60,952,997","2.1 (454,128)","7,783,868,458","268.1 (432,848,615)","31,111,314,127","1071.6 (770,897,809)","47,686","107,741,677","3.7 (4,861,640)",0,{}
half-2.7.1,"1,397,745","10,817,256","7.7 (32,187)","3,586,748","2.6 (4,205)","2,369,914","1.7 (1,762)","397,869,375","284.7 (2,375,980)","126,133,082","90.2 (646,684)","2,307","4,123,707","3.0 (30,487)",0,{}
hashbrown-0.17.1,"3,433,705","27,292,877","7.9 (31,585)","8,756,960","2.6 (3,289)","5,725,069",1.7 (391),"1,018,270,542","296.6 (2,193,879)","332,369,380","96.8 (646,967)","5,938","11,396,742","3.3 (29,929)",0,{}
hashlink-0.11.0,"1,883,823","15,010,314","8.0 (32,132)","4,809,401","2.6 (3,289)","3,137,432",1.7 (391),"545,900,545","289.8 (2,101,167)","184,686,898","98.0 (645,004)","3,248","6,339,384","3.4 (30,434)",0,{}
http-body-1.0.1,"68,354","539,975","7.9 (32,165)","174,211","2.5 (3,289)","113,781",1.7 (391),"20,124,604","294.4 (2,336,648)","6,412,709","93.8 (644,656)",116,"221,163","3.2 (30,465)",0,{}
httparse-1.10.1,"13,639,040","102,053,503","7.5 (31,573)","37,316,439","2.7 (3,289)","24,691,664",1.8 (786),"3,750,175,820","275.0 (2,217,362)","2,134,224,948","156.5 (1,499,616)","21,650","40,917,094","3.0 (29,917)",0,{}
hyper-1.10.1,"67,982","538,160","7.9 (32,187)","173,483","2.6 (3,289)","113,317",1.7 (391),"20,199,559","297.1 (2,339,075)","6,419,583","94.4 (644,019)",116,"221,352","3.3 (30,487)",0,{}
indexmap-2.14.0,"5,867,614","46,669,315","8.0 (32,163)","14,984,330","2.6 (3,289)","9,765,322",1.7 (391),"1,778,153,060","303.0 (2,339,023)","562,471,472","95.9 (646,643)","10,038","19,320,921","3.3 (30,463)",0,{}
inout-0.2.2,"34,199","271,167","7.9 (32,187)","87,345","2.6 (3,289)","56,967",1.7 (391),"10,140,204","296.5 (2,339,212)","3,226,159","94.3 (644,430)",58,"110,718","3.2 (30,487)",0,{}
is-terminal-0.4.17,"205,390","1,622,467","7.9 (32,187)","524,567","2.6 (3,289)","342,384",1.7 (391),"60,845,252","296.2 (2,348,503)","19,423,163","94.6 (644,019)",348,"663,323","3.2 (30,487)",0,{}
itertools-0.14.0,"5,447,428","43,300,553","7.9 (32,163)","13,920,821","2.6 (3,289)","9,072,191",1.7 (391),"1,650,340,529","303.0 (2,338,979)","524,918,333","96.4 (646,643)","9,307","17,903,658","3.3 (30,463)",0,{}
itoa-1.0.18,"377,853","2,985,873","7.9 (32,177)","965,668","2.6 (3,289)","631,016",1.7 (391),"110,575,249","292.6 (2,275,654)","35,761,610","94.6 (642,487)",638,"1,204,243","3.2 (30,477)",0,{}
lazycell-1.3.0,"967,147","7,620,503","7.9 (32,187)","2,488,719","2.6 (3,289)","1,627,999",1.7 (391),"260,026,650","268.9 (1,881,778)","94,317,091","97.5 (641,904)","1,624","3,174,530","3.3 (30,487)",0,{}
libc-0.2.186,"195,410","1,557,016","8.0 (32,199)","499,168","2.6 (3,289)","325,294",1.7 (391),"59,263,994","303.3 (2,319,076)","18,965,807","97.1 (644,225)",336,"646,581","3.3 (30,499)",0,{}
linked-hash-map-0.5.6,"880,738","6,861,759","7.8 (31,989)","2,277,874","2.6 (3,289)","1,496,789",1.7 (391),"254,939,094","289.5 (2,293,902)","83,256,840","94.5 (641,967)","1,458","2,754,282","3.1 (30,289)",0,{}
log-0.4.30,"1,070,074","8,474,088","7.9 (32,187)","2,734,468","2.6 (3,289)","1,783,880",1.7 (391),"319,081,463","298.2 (2,308,340)","102,304,413","95.6 (646,967)","1,813","3,470,514","3.2 (30,487)",0,{}
lru-0.18.0,"4,687,961","47,627,231","10.2 (2,767,424)","16,617,886","3.5 (802,176)","9,032,701","1.9 (79,539)","1,894,618,805","404.1 (228,064,684)","1,554,322,489","331.6 (255,324,060)","12,161","22,005,386","4.7 (2,766,480)",0,{}
matchers-0.2.0,"4,075,236","40,316,154","9.9 (379,963)","11,762,938","2.9 (44,940)","6,523,839","1.6 (29,997)","1,203,575,515","295.3 (17,837,799)","1,880,298,390","461.4 (70,346,459)","7,903","26,075,484","6.4 (376,739)",0,{}
memchr-2.8.1,"9,049,184","65,751,453","7.3 (363,825)","23,057,732","2.5 (43,985)","16,457,123","1.8 (11,280)","2,835,963,927","313.4 (268,841,016)","734,906,361","81.2 (29,705,418)","18,304","10,889,931","1.2 (362,325)",0,{}
minimal-lexical-0.2.1,"1,278,938","10,119,506","7.9 (32,187)","3,284,571","2.6 (3,289)","2,147,956",1.7 (391),"365,812,202","286.0 (2,372,650)","124,983,102","97.7 (639,807)","2,167","4,183,675","3.3 (30,487)",0,{}
nu-ansi-term-0.50.3,"2,282,976","18,164,375","8.0 (31,977)","5,834,338","2.6 (3,289)","3,801,883",1.7 (391),"692,155,160","303.2 (2,338,341)","219,549,152","96.2 (644,825)","3,922","7,544,826","3.3 (30,277)",0,{}
num-complex-0.4.6,"3,323,646","25,696,240","7.7 (32,187)","8,709,729","2.6 (3,289)","5,713,717",1.7 (625),"967,631,431","291.1 (2,332,219)","338,007,341","101.7 (649,865)","5,527","10,484,337","3.2 (30,487)",0,{}
object-0.39.1,"723,311","21,253,694","29.4 (10,631,089)","7,838,314","10.8 (3,543,695)","4,798,923","6.6 (1,181,234)","418,511,076","578.6 (164,188,059)","18,883,562,889","26107.1 (12,387,064,645)","2,586","17,868,816","24.7 (10,628,819)",0,{}
once_cell-1.21.4,"2,826,421","21,921,380","7.8 (302,615)","7,215,111","2.6 (27,857)","4,734,518","1.7 (1,050)","757,871,885","268.1 (7,281,805)","298,549,801","105.6 (13,203,646)","4,539","9,218,871","3.3 (301,282)",0,{}
ordered-float-5.3.0,"3,749,796","25,135,259","6.7 (601,660)","13,502,163","3.6 (290,000)","9,379,591","2.5 (200,000)","920,395,489","245.5 (31,101,726)","338,218,081","90.2 (37,806,992)","5,456","9,412,843","2.5 (601,119)",0,{}
parking_lot_core-0.9.12,"29,501,530","191,106,947","6.5 (2,758,187)","56,180,410","1.9 (147,041)","42,616,454","1.4 (39,740)","3,930,961,922","133.2 (77,462,705)","9,892,829,918","335.3 (1,521,565,483)","25,922","64,607,919","2.2 (2,749,493)",0,{}
pem-rfc7468-1.0.0,"490,533","3,902,342","8.0 (32,177)","1,252,451","2.6 (3,289)","815,740",1.7 (391),"148,184,258","302.1 (2,321,606)","47,645,750","97.1 (646,949)",840,"1,610,021","3.3 (30,477)",0,{}
percent-encoding-2.3.2,"635,165","4,986,858","7.9 (31,989)","1,625,926","2.6 (3,289)","1,069,249",1.7 (513),"184,378,661","290.3 (2,335,215)","58,322,639","91.8 (641,668)","1,056","1,970,760","3.1 (30,289)",0,{}
petgraph-0.8.3,"10,369,233","84,851,880","8.2 (351,104)","27,883,607","2.7 (50,060)","17,954,619","1.7 (16,485)","3,192,957,123","307.9 (16,179,166)","1,341,841,849","129.4 (134,935,111)","18,248","36,195,930","3.5 (349,716)",0,{}
pin-project-1.1.13,"1,179,848","9,387,313","8.0 (32,187)","3,013,800","2.6 (3,289)","1,962,801",1.7 (391),"358,988,574","304.3 (2,357,993)","113,940,836","96.6 (644,825)","2,019","3,891,423","3.3 (30,487)",0,{}
pin-project-lite-0.2.17,"717,133","5,662,011","7.9 (32,187)","1,838,421","2.6 (3,289)","1,200,033",1.7 (391),"192,382,787","268.3 (1,862,465)","69,715,452","97.2 (641,668)","1,210","2,362,083","3.3 (30,487)",0,{}
ppv-lite86-0.2.21,"68,241","539,453","7.9 (32,187)","174,029","2.6 (3,289)","113,622",1.7 (391),"20,189,810","295.9 (2,353,606)","6,394,877","93.7 (642,554)",116,"220,917","3.2 (30,487)",0,{}
predicates-3.1.4,"656,512","5,168,042","7.9 (32,187)","1,683,315","2.6 (3,289)","1,099,852",1.7 (391),"194,585,700","296.4 (2,364,180)","61,668,108","93.9 (641,668)","1,141","2,078,323","3.2 (30,487)",0,{}
proc-macro2-1.0.106,"2,233,251","17,760,416","8.0 (32,187)","5,716,318","2.6 (3,289)","3,721,081",1.7 (391),"674,866,056","302.2 (2,348,503)","216,484,269","96.9 (644,825)","3,812","7,355,689","3.3 (30,487)",0,{}
quinn-udp-0.6.1,"365,010","2,885,185","7.9 (31,977)","933,312","2.6 (3,289)","608,956",1.7 (391),"109,392,871","299.7 (2,337,472)","34,919,841","95.7 (646,967)",625,"1,194,683","3.3 (30,277)",0,{}
r-efi-6.0.0,"151,752","1,182,240","7.8 (32,199)","423,063","2.8 (4,096)","280,830",1.9 (513),"41,402,597","272.8 (2,323,863)","13,391,172","88.2 (644,825)",239,"443,660","2.9 (30,499)",0,{}
radium-1.1.1,"307,338","2,429,714","7.9 (32,187)","785,749","2.6 (3,289)","513,440",1.7 (391),"90,488,512","294.4 (2,303,015)","28,931,751","94.1 (643,769)",522,"993,477","3.2 (30,487)",0,{}
rand-0.10.1,"4,786,927","40,279,484","8.4 (1,230,001)","13,367,784","2.8 (230,796)","8,382,148","1.8 (76,934)","1,211,368,116","253.1 (59,632,189)","514,173,585","107.4 (38,113,279)","7,417","12,965,755","2.7 (1,229,694)",0,{}
redox_syscall-0.8.0,"35,181","284,650","8.1 (32,187)","90,027","2.6 (3,289)","58,654",1.7 (391),"10,387,402","295.3 (2,332,756)","4,062,564","115.5 (644,706)",60,"119,811","3.4 (30,487)",0,{}
rustversion-1.0.22,"69,613","542,115","7.8 (32,199)","180,257","2.6 (3,289)","116,549",1.7 (391),"20,200,424","290.2 (2,325,324)","6,457,652","92.8 (644,825)",115,"216,558","3.1 (30,499)",0,{}
ryu-1.0.23,"1,023,307","8,125,426","7.9 (32,187)","2,620,926","2.6 (3,289)","1,706,576",1.7 (593),"309,104,919","302.1 (2,372,650)","99,617,446","97.3 (644,656)","1,746","3,362,348","3.3 (30,487)",0,{}
scopeguard-1.2.0,"275,156","2,175,898","7.9 (32,187)","703,360","2.6 (3,289)","459,959",1.7 (391),"81,606,806","296.6 (2,370,915)","26,018,578","94.6 (646,643)",464,"880,364","3.2 (30,487)",0,{}
semver-1.0.28,"1,152,038","8,904,083","7.7 (31,599)","2,952,463","2.6 (3,289)","1,928,213",1.7 (391),"319,126,012","277.0 (2,207,106)","102,905,680","89.3 (639,807)","1,857","3,451,982","3.0 (29,943)",0,{}
serde_bytes-0.11.19,"137,190","1,075,236","7.8 (31,968)","349,964","2.6 (3,289)","228,328",1.7 (391),"38,626,562","281.6 (2,197,084)","12,806,410","93.3 (644,656)",230,"442,761","3.2 (30,270)",0,{}
serde_core-1.0.228,"39,212","336,779","8.6 (32,187)","99,720","2.5 (3,289)","68,046",1.7 (914),"10,931,174","278.8 (2,353,946)","3,334,402","85.0 (642,588)",63,"111,584","2.8 (30,487)",0,{}
serde_json-1.0.150,"5,511,737","41,362,068","7.5 (32,141)","14,848,120","2.7 (18,778)","9,514,723","1.7 (2,042)","1,652,504,284","299.8 (33,914,745)","638,453,350","115.8 (13,673,526)","9,709","15,834,280","2.9 (30,441)",0,{}
serde_with-3.20.0,"3,936,328","31,158,678","7.9 (379,963)","10,104,958","2.6 (39,997)","6,666,099","1.7 (29,997)","1,159,940,012","294.7 (12,764,236)","544,795,858","138.4 (70,359,789)","6,697","13,178,244","3.3 (375,542)",0,{}
shlex-2.0.1,"262,820","2,043,081","7.8 (32,165)","679,603","2.6 (3,289)","436,624",1.7 (391),"75,298,491","286.5 (2,356,621)","23,463,314","89.3 (644,112)",435,"795,001","3.0 (30,465)",0,{}
siphasher-1.0.3,"449,856","3,542,646","7.9 (31,977)","1,240,268","2.8 (10,624)","810,969","1.8 (6,976)","132,901,608","295.4 (2,326,027)","42,378,483","94.2 (641,010)",762,"1,425,592","3.2 (30,277)",0,{}
slab-0.4.12,"1,654,500","12,974,619","7.8 (32,187)","4,282,742","2.6 (3,289)","2,802,983",1.7 (413),"439,380,606","265.6 (1,881,778)","164,684,990","99.5 (691,024)","2,734","5,340,821","3.2 (30,487)",0,{}
smallvec-1.15.1,"2,056,017","16,356,026","8.0 (31,977)","5,252,370","2.6 (3,289)","3,423,456",1.7 (391),"622,891,777","303.0 (2,329,711)","197,824,532","96.2 (646,721)","3,531","6,793,744","3.3 (30,277)",0,{}
socket2-0.6.4,"342,113","2,704,641","7.9 (32,187)","879,239","2.6 (3,289)","574,853",1.7 (391),"101,457,754","296.6 (2,348,503)","32,205,477","94.1 (641,010)",580,"1,095,260","3.2 (30,487)",0,{}
spin-0.12.0,"1,351,202","10,113,809","7.5 (55,407)","3,376,726","2.5 (6,417)","2,230,540","1.7 (1,293)","362,288,083","268.1 (3,055,137)","132,783,735","98.3 (5,337,776)","2,125","3,986,022","2.9 (55,317)",0,{}
subtle-2.6.1,"1,078,703","9,204,879","8.5 (36,755)","2,804,572","2.6 (5,150)","1,850,909","1.7 (1,023)","354,671,373","328.8 (4,497,852)","105,025,500","97.4 (995,383)","2,114","3,468,202","3.2 (36,620)",0,{}
tempfile-3.27.0,"3,801,539","35,646,290","9.4 (2,330,000)","10,411,588","2.7 (400,000)","6,652,057","1.7 (60,000)","1,139,807,442","299.8 (166,379,857)","280,892,116","73.9 (30,918,576)","6,979","10,310,991","2.7 (1,375,635)",0,{}
thread_local-1.1.9,"285,466","2,235,853","7.8 (32,199)","733,744","2.6 (3,289)","477,879","1.7 (1,026)","82,566,366","289.2 (2,324,914)","37,963,929","133.0 (7,333,062)",474,"908,534","3.2 (30,499)",0,{}
tinystr-0.8.3,"2,371,646","20,037,501","8.4 (32,187)","7,556,943","3.2 (19,390)","4,463,544","1.9 (8,311)","727,622,852","306.8 (4,267,059)","216,742,306","91.4 (698,611)","4,716","4,670,625","2.0 (30,487)",0,{}
tokio-stream-0.1.18,"1,625,833","12,900,430","7.9 (31,597)","4,143,773","2.5 (3,289)","2,708,161",1.7 (391),"485,967,543","298.9 (2,249,809)","154,881,411","95.3 (645,113)","2,800","5,330,787","3.3 (29,941)",0,{}
tower-http-0.6.11,"310,443","2,447,725","7.9 (31,989)","793,985","2.6 (3,289)","518,421",1.7 (391),"91,444,798","294.6 (2,341,166)","28,815,554","92.8 (641,592)",522,"984,744","3.2 (30,289)",0,{}
