build,crate,status,compile_seconds,run_seconds,timestamp,job_id
base-miri,serde_yaml-0.9.34+deprecated,build_failed,20.093,0.000,2026-06-12T15:53:41Z,1801312
base-miri,rustls-native-certs-0.8.3,test_failed,94.753,1.648,2026-06-12T15:53:46Z,1801280
base-miri,regex-automata-0.4.14,test_failed,24.726,81.201,2026-06-12T15:53:51Z,1801275
base-miri,siphasher-1.0.3,success,0.974,4.366,2026-06-12T15:54:04Z,1801322
base-miri,signal-hook-registry-1.4.8,test_failed,4.510,1.606,2026-06-12T15:54:07Z,1801320
base-miri,signal-hook-0.4.4,test_failed,5.445,2.072,2026-06-12T15:54:08Z,1801319
base-miri,shlex-2.0.1,success,2.433,4.811,2026-06-12T15:54:10Z,1801318
base-miri,encoding_rs-0.8.35,success,14.382,404.002,2026-06-12T15:54:18Z,1801160
base-miri,slab-0.4.12,success,11.327,12.889,2026-06-12T15:54:23Z,1801323
base-miri,stable_deref_trait-1.2.1,success,0.820,2.495,2026-06-12T15:54:24Z,1801327
base-miri,security-framework-3.7.0,success,40.692,1.722,2026-06-12T15:54:21Z,1801304
base-miri,socket2-0.6.4,test_failed,3.943,3.689,2026-06-12T15:54:36Z,1801325
base-miri,smallvec-1.15.1,success,15.479,10.774,2026-06-12T15:54:36Z,1801324
base-miri,reqwest-0.13.4,test_failed,121.443,3.406,2026-06-12T15:54:35Z,1801276
base-miri,crossbeam-deque-0.8.6,test_failed,7.998,467.177,2026-06-12T15:54:56Z,1801145
base-miri,sync_wrapper-1.0.2,success,10.984,2.022,2026-06-12T15:54:59Z,1801330
base-miri,rand-0.10.1,success,26.184,191.755,2026-06-12T15:55:05Z,1801269
base-miri,terminal_size-0.4.4,test_failed,4.129,1.406,2026-06-12T15:55:07Z,1801333
base-miri,tiny-keccak-2.0.2,build_failed,1.171,0.000,2026-06-12T15:55:10Z,1801336
base-miri,tar-0.4.46,test_failed,20.777,1.843,2026-06-12T15:55:10Z,1801331
base-miri,serde_json-1.0.150,success,26.414,112.406,2026-06-12T15:55:21Z,1801309
base-miri,subtle-2.6.1,success,13.993,20.411,2026-06-12T15:55:31Z,1801328
base-miri,thread_local-1.1.9,success,25.143,5.950,2026-06-12T15:55:42Z,1801334
base-miri,tempfile-3.27.0,test_failed,8.363,3.840,2026-06-12T15:55:42Z,1801332
base-miri,lru-0.18.0,success,2.217,368.155,2026-06-12T15:55:48Z,1801224
base-miri,time-0.3.47,test_failed,35.371,2.802,2026-06-12T15:55:48Z,1801335
base-miri,matchers-0.2.0,success,3.318,381.932,2026-06-12T15:56:03Z,1801225
base-miri,tracing-core-0.1.36,test_failed,1.730,5.371,2026-06-12T15:56:06Z,1801349
base-miri,try-lock-0.2.5,build_failed,0.748,0.000,2026-06-12T15:56:09Z,1801352
base-miri,serde_with-3.20.0,test_failed,87.215,87.297,2026-06-12T15:56:29Z,1801310
