crate,trees,nodes,avg_nodes,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
hashbrown-0.17.1,1487160,13830864,9.3,4732514,3.18,2958731,1.99,334336593,224.82,547674411,368.27,7130976,4.8
hashlink-0.11.0,305754,2991387,9.78,791008,2.59,558235,1.83,134513936,439.94,47050776,153.88,1431655,4.68
hermit-abi-0.5.2,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
home-0.5.12,8964,91309,10.19,19902,2.22,13280,1.48,3595991,401.16,1213063,135.33,37947,4.23
hostname-0.4.2,23552,235226,9.99,52533,2.23,36713,1.56,8477974,359.97,2733655,116.07,94943,4.03
http-body-1.0.1,20433,205755,10.07,45045,2.2,30848,1.51,7872266,385.27,2525583,123.6,86298,4.22
httparse-1.10.1,558984,5480527,9.8,1316362,2.35,1008224,1.8,146159906,261.47,67205986,120.23,2208285,3.95
hyper-1.10.1,12219,120057,9.83,26496,2.17,19069,1.56,4301421,352.03,1342677,109.88,48812,3.99
hyper-util-0.1.20,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
iana-time-zone-0.1.65,18903,190663,10.09,44901,2.38,30434,1.61,5652516,299.03,3508366,185.6,79361,4.2
iana-time-zone-haiku-0.1.2,8881,88643,9.98,19604,2.21,13115,1.48,3432642,386.52,1174626,132.26,35339,3.98
icu_normalizer-2.2.0,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
indexmap-2.14.0,4881270,25589972,5.24,11527636,2.36,11799980,2.42,968655116,198.44,605417787,124.03,8351511,1.71
inout-0.2.2,19399,202549,10.44,44943,2.32,29769,1.53,7683991,396.1,2767412,142.66,82198,4.24
instant-0.1.13,17636,180788,10.25,39384,2.23,26104,1.48,7183885,407.34,2424666,137.48,75786,4.3
io-lifetimes-3.0.1,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
is-terminal-0.4.17,17619,176900,10.04,40204,2.28,29229,1.66,5726473,325.02,1881714,106.8,70447,4.0
itertools-0.14.0,1212564,9288122,7.66,2873850,2.37,2302747,1.9,234333024,193.25,81502642,67.22,2624208,2.16
itoa-1.0.18,32435,329308,10.15,72723,2.24,52963,1.63,11368002,350.49,3837440,118.31,130951,4.04
jobserver-0.1.34,9562,94785,9.91,21092,2.21,14463,1.51,3609915,377.53,1186627,124.1,38868,4.06
lazy_static-1.5.0,17627,181005,10.27,39464,2.24,26076,1.48,7209972,409.03,2425709,137.61,75898,4.31
lazycell-1.3.0,47932,473699,9.88,108701,2.27,83723,1.75,13667888,285.15,3996545,83.38,181652,3.79
libc-0.2.186,25992,264916,10.19,59208,2.28,41513,1.6,9209067,354.3,3062383,117.82,108321,4.17
libloading-0.9.0,28037,283805,10.12,62377,2.22,42060,1.5,11059266,394.45,3710092,132.33,118349,4.22
libm-0.2.16,12980,130825,10.08,29869,2.3,21896,1.69,4222706,325.32,2477069,190.84,62662,4.83
libz-sys-1.1.28,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
libz-sys-1.1.29,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
linked-hash-map-0.5.6,99479,652306,6.56,218387,2.2,211706,2.13,16047993,161.32,4098684,41.2,208309,2.09
linux-raw-sys-0.12.1,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
lock_api-0.4.14,8886,90823,10.22,19784,2.23,13173,1.48,3591911,404.22,1212566,136.46,37947,4.27
log-0.4.30,81384,761267,9.35,171893,2.11,134368,1.65,22710445,279.05,6392339,78.55,300076,3.69
lru-0.18.0,5779808,45375054,7.85,16674426,2.88,11565117,2.0,1463604406,253.23,990209701,171.32,21385029,3.7
matchers-0.2.0,5249489,60861182,11.59,11593345,2.21,8711117,1.66,2373143429,452.07,3585730329,683.06,41023947,7.81
matchit-0.9.2,282657,2748065,9.72,660000,2.33,430350,1.52,115465835,408.5,65341499,231.17,1076088,3.81
memchr-2.8.1,7496345,59245860,7.9,17550839,2.34,12636335,1.69,2512286225,335.13,675003140,90.04,9011916,1.2
memmap2-0.9.10,9837,98167,9.98,21981,2.23,15164,1.54,3766493,382.89,1258181,127.9,39644,4.03
minimal-lexical-0.2.1,394167,3798268,9.64,981353,2.49,615432,1.56,200130271,507.73,135896460,344.77,1413360,3.59
mio-1.2.1,9349,93551,10.01,20426,2.18,13999,1.5,3619530,387.16,1214544,129.91,37947,4.06
native-tls-0.2.18,9979,98919,9.91,22136,2.22,15393,1.54,3752132,376.0,1235736,123.83,39402,3.95
