crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
dyn-clone-1.0.20,test_failed,5.313,success,6.364,1.198,success,5.130,1.241,0.966,success,7.727,0.824,1.454
either-1.16.0,success,5.512,success,9.503,1.724,success,12.305,0.772,2.232,success,12.505,0.760,2.269
encoding_rs-0.8.35,success,2.305,success,404.002,175.272,success,461.036,0.876,200.016,success,300.371,1.345,130.313
erased-serde-0.4.10,success,53.728,success,8.939,0.166,success,9.538,0.937,0.178,success,9.428,0.948,0.175
errno-0.3.14,success,1.514,test_failed,2.778,1.835,test_failed,2.763,1.005,1.825,test_failed,3.638,0.764,2.403
event-listener-5.4.1,success,7.508,success,11.348,1.511,success,8.848,1.283,1.178,success,8.113,1.399,1.081
event-listener-strategy-0.5.4,success,6.774,success,3.111,0.459,success,3.191,0.975,0.471,success,5.615,0.554,0.829
filetime-0.2.29,success,0.309,test_failed,1.532,4.958,test_failed,1.593,0.962,5.155,test_failed,1.754,0.873,5.676
find-msvc-tools-0.1.9,success,0.296,success,1.427,4.821,success,2.087,0.684,7.051,success,3.703,0.385,12.510
fixedbitset-0.5.7,success,0.904,success,66.960,74.071,success,65.289,1.026,72.222,success,52.349,1.279,57.908
flate2-1.1.9,success,6.609,test_failed,87866.780,13295.019,test_failed,87219.470,1.007,13197.075,test_failed,47241.173,1.860,7148.006
foldhash-0.2.0,success,1.780,success,2.154,1.210,success,2.166,0.994,1.217,success,2.864,0.752,1.609
foreign-types-0.5.0,success,0.573,success,2.999,5.234,success,4.730,0.634,8.255,success,3.763,0.797,6.567
foreign-types-shared-0.3.1,success,0.257,success,1.529,5.949,success,1.506,1.015,5.860,success,1.624,0.942,6.319
form_urlencoded-1.2.2,success,0.550,success,1.067,1.940,success,2.938,0.363,5.342,success,1.536,0.695,2.793
futures-channel-0.3.32,build_failed,,test_failed,2.872,,test_failed,4.253,0.675,,test_failed,1.968,1.459,
futures-core-0.3.32,test_failed,0.298,test_failed,1.967,6.601,test_failed,3.816,0.515,12.805,test_failed,7.452,0.264,25.007
futures-executor-0.3.32,absent,,test_failed,1.348,,test_failed,2.934,0.459,,test_failed,1.417,0.951,
futures-sink-0.3.32,absent,,success,1.487,,success,1.710,0.870,,success,1.731,0.859,
futures-task-0.3.32,test_failed,0.279,test_failed,1.784,6.394,test_failed,2.303,0.775,8.254,test_failed,1.881,0.948,6.742
futures-util-0.3.32,test_failed,10.323,test_failed,12.046,1.167,test_failed,13.822,0.872,1.339,test_failed,13.436,0.897,1.302
generic-array-1.4.2,success,6.427,success,6.559,1.021,success,11.780,0.557,1.833,success,9.852,0.666,1.533
generic-array-1.4.3,success,4.269,success,6.507,1.524,success,11.894,0.547,2.786,success,17.571,0.370,4.116
getrandom-0.4.2,success,1.544,success,26.331,17.054,success,29.333,0.898,18.998,success,21.463,1.227,13.901
gimli-0.33.0,success,1.548,success,1156.958,747.389,success,991.240,1.167,640.336,success,986.330,1.173,637.164
h2-0.4.14,test_failed,8.475,test_failed,33.840,3.993,test_failed,43.848,0.772,5.174,test_failed,39.294,0.861,4.636
half-2.7.1,success,4.625,success,18.606,4.023,success,20.170,0.922,4.361,success,29.966,0.621,6.479
hashbrown-0.17.1,success,7.092,success,131.092,18.484,success,166.961,0.785,23.542,success,114.433,1.146,16.136
hashlink-0.11.0,success,0.204,success,22.558,110.578,success,26.452,0.853,129.667,success,25.473,0.886,124.868
hermit-abi-0.5.2,test_failed,0.480,test_failed,1.776,3.700,test_failed,1.936,0.917,4.033,test_failed,1.678,1.058,3.496
home-0.5.12,success,0.468,test_failed,1.795,3.835,test_failed,2.157,0.832,4.609,test_failed,1.590,1.129,3.397
hostname-0.4.2,success,1.362,test_failed,3.306,2.427,test_failed,8.997,0.367,6.606,test_failed,2.415,1.369,1.773
http-1.4.1,success,22.212,success,11899.219,535.711,success,10139.259,1.174,456.477,success,9282.953,1.282,417.925
http-body-1.0.1,success,0.177,success,2.418,13.661,success,2.625,0.921,14.831,success,2.108,1.147,11.910
http-body-util-0.1.3,build_failed,,test_failed,0.850,,test_failed,0.923,0.921,,test_failed,0.889,0.956,
httparse-1.10.1,success,18.630,success,40.353,2.166,success,45.241,0.892,2.428,success,55.061,0.733,2.956
hyper-1.10.1,test_failed,1.225,test_failed,2.554,2.085,test_failed,7.589,0.337,6.195,test_failed,5.200,0.491,4.245
hyper-util-0.1.20,build_failed,,test_failed,1.764,,test_failed,2.089,0.844,,test_failed,2.119,0.832,
iana-time-zone-0.1.65,test_failed,0.575,test_failed,1.974,3.433,test_failed,2.135,0.925,3.713,test_failed,3.520,0.561,6.122
iana-time-zone-haiku-0.1.2,success,0.656,test_failed,1.574,2.399,test_failed,1.688,0.932,2.573,test_failed,1.720,0.915,2.622
icu_collections-2.2.0,build_failed,,test_failed,1.050,,test_failed,1.136,0.924,,test_failed,1.907,0.551,
icu_locale_core-2.2.0,build_failed,,test_failed,3.396,,test_failed,2.840,1.196,,test_failed,2.066,1.644,
icu_normalizer-2.2.0,build_failed,,test_failed,2.825,,test_failed,3.322,0.850,,test_failed,8.888,0.318,
icu_provider-2.2.0,build_failed,,test_failed,1.139,,test_failed,1.241,0.918,,test_failed,1.703,0.669,
idna-1.1.0,test_failed,1.437,absent,,,absent,,,,absent,,,
indexmap-2.14.0,success,2.019,success,191.780,94.988,success,204.534,0.938,101.305,absent,,,
inout-0.2.2,success,0.238,success,2.500,10.504,success,2.663,0.939,11.189,success,2.105,1.188,8.845
instant-0.1.13,success,0.278,success,2.142,7.705,success,2.343,0.914,8.428,success,2.865,0.748,10.306
io-lifetimes-3.0.1,success,0.458,success,2.222,4.852,success,9.497,0.234,20.736,success,2.030,1.095,4.432
is-terminal-0.4.17,success,0.365,success,2.396,6.564,success,2.313,1.036,6.337,success,2.154,1.112,5.901
itertools-0.14.0,success,37.053,success,88.556,2.390,success,97.044,0.913,2.619,success,92.382,0.959,2.493
itoa-1.0.18,success,0.578,success,3.776,6.533,success,4.042,0.934,6.993,success,3.565,1.059,6.168
jobserver-0.1.34,success,1.345,test_failed,1.585,1.178,test_failed,1.598,0.992,1.188,test_failed,1.365,1.161,1.015
js-sys-0.3.99,success,0.067,success,0.091,1.358,success,0.660,0.138,9.851,success,0.171,0.532,2.552
