,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,backtrace-0.3.76,test_failed,0.462,test_failed,11.652,25.221,3,1,test_failed,13.291,0.877,28.768,3,1,test_failed,13.434,0.867,29.078,3,1,test_failed,15.798,0.738,34.195,3,1,test_failed,8.294,1.405,17.952,3,1,test_failed,8.269,1.409,17.898,3,1,test_failed,11.86,0.982,25.671,3,1
,base16ct-1.0.0,success,0.546,success,6.26,11.465,11,11,absent,,,,,,success,6.332,0.989,11.597,11,11,success,4.657,1.344,8.529,11,11,success,4.785,1.308,8.764,11,11,success,5.63,1.112,10.311,11,11,success,3.406,1.838,6.238,11,11
,base64ct-1.8.3,success,0.553,success,849.476,1536.123,52,52,success,819.256,1.037,1481.476,52,52,success,724.397,1.173,1309.94,52,52,success,640.211,1.327,1157.705,52,52,success,697.742,1.217,1261.74,52,52,success,691.494,1.228,1250.441,52,52,success,694.586,1.223,1256.033,52,52
,bincode-2.0.1,success,2.154,success,106.037,49.228,86,82,success,112.064,0.946,52.026,86,82,success,98.287,1.079,45.63,86,82,success,95.311,1.113,44.248,86,82,success,101.5,1.045,47.122,86,82,success,88.694,1.196,41.176,86,82,success,89.186,1.189,41.405,86,82
,bindgen-0.72.1,test_failed,1.612,test_failed,22.09,13.703,47,29,test_failed,26.73,0.826,16.582,47,29,test_failed,24.537,0.9,15.221,47,29,test_failed,22.374,0.987,13.88,47,29,test_failed,22.578,0.978,14.006,47,29,test_failed,22.116,0.999,13.72,47,29,test_failed,22.602,0.977,14.021,47,29
,bit-set-0.10.0,success,1.922,success,16.576,8.624,47,47,success,14.431,1.149,7.508,47,47,success,17.809,0.931,9.266,47,47,success,17.595,0.942,9.155,47,47,success,14.441,1.148,7.514,47,47,success,14.527,1.141,7.558,47,47,success,15.852,1.046,8.248,47,47
,bit-vec-0.9.1,success,5.588,success,132.003,23.623,106,106,success,122.086,1.081,21.848,106,106,success,115.499,1.143,20.669,106,106,success,102.175,1.292,18.285,106,106,success,104.273,1.266,18.66,106,106,success,104.743,1.26,18.744,106,106,success,103.818,1.271,18.579,106,106
,bitvec-1.0.1,success,37.493,test_failed,21.342,0.569,140,0,test_failed,20.011,1.067,0.534,140,0,test_failed,25.449,0.839,0.679,140,0,test_failed,24.414,0.874,0.651,140,0,test_failed,20.401,1.046,0.544,140,0,test_failed,20.235,1.055,0.54,140,0,test_failed,18.954,1.126,0.506,140,0
,block-buffer-0.12.0,success,1.086,success,4.028,3.709,11,11,success,4.356,0.925,4.011,11,11,success,4.717,0.854,4.343,11,11,success,4.655,0.865,4.286,11,11,success,3.685,1.093,3.393,11,11,success,6.066,0.664,5.586,11,11,success,4.164,0.967,3.834,11,11
,brotli-decompressor-5.0.1,success,3.502,test_failed,11682.142,3335.849,107,31,test_failed,14015.908,0.833,4002.258,107,31,test_failed,471.44,24.78,134.62,107,31,test_failed,729.637,16.011,208.349,107,31,test_failed,986.163,11.846,281.6,107,31,test_failed,491.567,23.765,140.368,107,31,test_failed,501.378,23.3,143.169,107,31
