,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,ppv-lite86-0.2.21,success,0.938,success,1.812,1.932,2,2,success,1.824,0.993,1.945,2,2,success,1.774,1.021,1.891,2,2,success,1.462,1.239,1.559,2,2,success,1.924,0.942,2.051,2,2,success,1.66,1.092,1.77,2,2,success,1.687,1.074,1.799,2,2
,predicates-3.1.4,test_failed,6.891,test_failed,28.264,4.102,67,59,test_failed,20.714,1.364,3.006,67,59,test_failed,28.904,0.978,4.194,67,59,test_failed,19.007,1.487,2.758,67,59,test_failed,17.986,1.571,2.61,67,59,test_failed,18.169,1.556,2.637,67,59,test_failed,17.504,1.615,2.54,67,59
,prettyplease-0.2.37,success,1.631,success,17030.5,10441.754,10,10,success,16656.5,1.022,10212.446,10,10,success,13892.703,1.226,8517.905,10,10,success,14872.727,1.145,9118.778,10,10,success,14458.56,1.178,8864.844,10,10,absent,,,,,,absent,,,,,
,proc-macro2-1.0.106,test_failed,0.626,test_failed,21.97,35.096,76,71,test_failed,20.826,1.055,33.268,76,71,test_failed,20.37,1.079,32.54,76,71,test_failed,19.714,1.114,31.492,76,71,test_failed,22.175,0.991,35.423,76,71,test_failed,17.737,1.239,28.334,76,71,test_failed,17.558,1.251,28.048,76,71
,prost-0.14.3,success,130.414,test_failed,5.302,0.041,413,0,test_failed,5.321,0.996,0.041,413,0,test_failed,5.447,0.973,0.042,413,0,test_failed,5.277,1.005,0.04,413,0,test_failed,5.867,0.904,0.045,413,0,test_failed,5.108,1.038,0.039,413,0,test_failed,5.998,0.884,0.046,413,0
,quinn-proto-0.11.14,success,7.359,test_failed,9.022,1.226,263,0,test_failed,5.988,1.507,0.814,263,0,test_failed,14.624,0.617,1.987,263,0,test_failed,12.215,0.739,1.66,263,0,test_failed,5.911,1.526,0.803,263,0,test_failed,5.587,1.615,0.759,263,0,test_failed,8.801,1.025,1.196,263,0
,quinn-udp-0.6.1,success,1.297,test_failed,4.162,3.209,11,3,test_failed,2.949,1.411,2.274,11,3,test_failed,2.835,1.468,2.186,11,3,test_failed,3.022,1.377,2.33,11,3,test_failed,3.054,1.363,2.355,11,3,test_failed,2.729,1.525,2.104,11,3,test_failed,3.181,1.308,2.453,11,3
,r-efi-6.0.0,success,0.598,success,3.619,6.052,8,6,success,3.544,1.021,5.926,8,6,success,4.058,0.892,6.786,8,6,success,8.447,0.428,14.125,8,6,success,3.918,0.924,6.552,8,6,success,3.511,1.031,5.871,8,6,success,3.353,1.079,5.607,8,6
,radium-1.1.1,success,0.352,success,13.454,38.222,11,11,success,2.911,4.622,8.27,11,11,success,2.826,4.761,8.028,11,11,success,2.245,5.993,6.378,11,11,success,2.936,4.582,8.341,11,11,success,2.77,4.857,7.869,11,11,success,3.666,3.67,10.415,11,11
,rand-0.10.1,success,1.022,success,161.441,157.966,155,141,success,145.702,1.108,142.566,155,141,success,190.773,0.846,186.666,155,141,success,173.545,0.93,169.809,155,141,success,159.03,1.015,155.607,155,141,success,153.448,1.052,150.145,155,141,success,139.805,1.155,136.795,155,141
,redox_syscall-0.8.0,success,0.319,success,11.333,35.527,1,1,success,2.502,4.53,7.843,1,1,success,3.575,3.17,11.207,1,1,success,2.892,3.919,9.066,1,1,success,2.61,4.342,8.182,1,1,success,2.412,4.699,7.561,1,1,success,3.109,3.645,9.746,1,1
,regex-automata-0.4.14,build_failed,,test_failed,82.054,,123,123,test_failed,78.213,1.049,,123,123,test_failed,75.283,1.09,,123,123,test_failed,74.564,1.1,,123,123,test_failed,77.758,1.055,,123,123,test_failed,64.953,1.263,,123,123,test_failed,71.175,1.153,,123,123
,reqwest-0.13.4,success,9.272,test_failed,3.418,0.369,43,0,test_failed,3.435,0.995,0.37,43,0,test_failed,19.279,0.177,2.079,43,0,test_failed,18.611,0.184,2.007,43,0,test_failed,3.369,1.015,0.363,43,0,test_failed,3.224,1.06,0.348,43,0,test_failed,3.069,1.114,0.331,43,0
,rustix-1.1.4,success,1.078,test_failed,2.108,1.955,11,0,test_failed,4.785,0.441,4.439,11,0,test_failed,6.202,0.34,5.753,11,0,test_failed,2.528,0.834,2.345,11,0,test_failed,3.711,0.568,3.442,11,0,test_failed,2.09,1.009,1.939,11,0,test_failed,1.631,1.292,1.513,11,0
,rustls-native-certs-0.8.3,success,10.903,test_failed,1.574,0.144,7,0,test_failed,1.692,0.93,0.155,7,0,test_failed,1.366,1.152,0.125,7,0,test_failed,4.037,0.39,0.37,7,0,test_failed,1.513,1.04,0.139,7,0,test_failed,1.514,1.04,0.139,7,0,test_failed,1.426,1.104,0.131,7,0
,rustversion-1.0.22,success,1.779,success,4.657,2.618,3,2,success,4.076,1.143,2.291,3,2,success,3.545,1.314,1.993,3,2,success,3.833,1.215,2.155,3,2,success,3.688,1.263,2.073,3,2,success,3.757,1.24,2.112,3,2,success,3.779,1.232,2.124,3,2
,ryu-1.0.23,success,9.45,success,16.398,1.735,51,48,success,14.782,1.109,1.564,51,48,success,13.394,1.224,1.417,51,48,success,16.05,1.022,1.698,51,48,success,13.795,1.189,1.46,51,48,success,13.301,1.233,1.408,51,48,success,12.554,1.306,1.328,51,48
,same-file-1.0.6,success,0.382,test_failed,1.52,3.979,9,0,test_failed,1.454,1.045,3.806,9,0,test_failed,1.288,1.18,3.372,9,0,test_failed,2.385,0.637,6.243,9,0,test_failed,1.485,1.024,3.887,9,0,test_failed,1.26,1.206,3.298,9,0,test_failed,1.355,1.122,3.547,9,0
,scopeguard-1.2.0,success,0.649,success,3.325,5.123,14,14,success,13.77,0.241,21.217,14,14,success,3.636,0.914,5.602,14,14,success,3.418,0.973,5.267,14,14,success,3.113,1.068,4.797,14,14,success,2.963,1.122,4.565,14,14,success,2.937,1.132,4.525,14,14
,semver-1.0.28,success,0.846,success,15.508,18.331,38,38,success,15.752,0.985,18.619,38,38,success,13.059,1.188,15.436,38,38,success,15.522,0.999,18.348,38,38,success,14.718,1.054,17.397,38,38,success,13.178,1.177,15.577,38,38,success,12.637,1.227,14.937,38,38
,serde_bytes-0.11.19,success,0.903,success,6.12,6.777,10,10,success,5.567,1.099,6.165,10,10,success,7.283,0.84,8.065,10,10,success,5.581,1.097,6.181,10,10,success,5.272,1.161,5.838,10,10,success,6.472,0.946,7.167,10,10,success,4.461,1.372,4.94,10,10
,serde_core-1.0.228,test_failed,4.753,test_failed,8.974,1.888,69,48,test_failed,10.352,0.867,2.178,69,48,test_failed,13.471,0.666,2.834,69,48,test_failed,7.832,1.146,1.648,69,48,test_failed,9.504,0.944,2,69,48,test_failed,10.25,0.876,2.157,69,48,test_failed,8.949,1.003,1.883,69,48
,serde_json-1.0.150,success,34.791,success,112,3.219,235,234,success,105.141,1.065,3.022,235,234,success,147.459,0.76,4.238,235,234,success,109.725,1.021,3.154,235,234,success,120.576,0.929,3.466,235,234,success,114.852,0.975,3.301,235,234,success,103.087,1.086,2.963,235,234
,serde_with-3.20.0,test_failed,0.701,test_failed,71.499,101.996,109,106,test_failed,76.883,0.93,109.676,109,106,test_failed,97.546,0.733,139.153,109,106,test_failed,95.943,0.745,136.866,109,106,test_failed,86.642,0.825,123.598,109,106,test_failed,71.372,1.002,101.815,109,106,test_failed,62.41,1.146,89.03,109,106
,sha1-0.11.0,success,0.918,absent,,,,,success,13816.789,,15050.968,5,5,success,8688.03,,9464.085,5,5,success,8754.549,,9536.546,5,5,success,8835.901,,9625.164,5,5,absent,,,,,,absent,,,,,
,sha2-0.11.0,success,2.733,absent,,,,,success,29400.699,,10757.665,16,16,success,21440.034,,7844.872,16,16,success,18613.29,,6810.571,16,16,success,20529.629,,7511.756,16,16,absent,,,,,,absent,,,,,
,sharded-slab-0.1.7,success,21.421,fetch_failed,,,0,0,test_failed,965.942,,45.093,12,0,test_failed,872.185,,40.716,12,0,test_failed,736.29,,34.372,12,0,test_failed,927.093,,43.28,12,0,test_failed,844.238,,39.412,12,0,test_failed,786.712,,36.726,12,0
,shlex-2.0.1,success,0.267,success,4.623,17.315,8,8,success,5.729,0.807,21.457,8,8,success,3.934,1.175,14.734,8,8,success,3.755,1.231,14.064,8,8,success,3.547,1.303,13.285,8,8,success,3.463,1.335,12.97,8,8,success,2.961,1.561,11.09,8,8
,signal-hook-0.4.4,build_failed,,test_failed,1.784,,11,0,test_failed,1.445,1.235,,11,0,test_failed,1.5,1.189,,11,0,test_failed,2.61,0.684,,11,0,test_failed,1.408,1.267,,11,0,test_failed,1.468,1.215,,11,0,test_failed,1.249,1.428,,11,0
,signal-hook-registry-1.4.8,success,0.496,test_failed,2.287,4.611,13,0,test_failed,1.198,1.909,2.415,13,0,test_failed,1.972,1.16,3.976,13,0,test_failed,2.557,0.894,5.155,13,0,test_failed,1.519,1.506,3.062,13,0,test_failed,1.308,1.748,2.637,13,0,test_failed,1.205,1.898,2.429,13,0
,siphasher-1.0.3,success,0.325,success,6.568,20.209,15,15,success,6.769,0.97,20.828,15,15,success,4.531,1.45,13.942,15,15,success,5.455,1.204,16.785,15,15,success,4.246,1.547,13.065,15,15,success,4.16,1.579,12.8,15,15,success,3.948,1.664,12.148,15,15
,slab-0.4.12,success,3.1,success,12.605,4.066,85,85,success,12.254,1.029,3.953,85,85,success,15.934,0.791,5.14,85,85,success,20.768,0.607,6.699,85,85,success,12.045,1.046,3.885,85,85,success,11.602,1.086,3.743,85,85,success,10.234,1.232,3.301,85,85
,smallvec-1.15.1,success,1.38,success,10.744,7.786,76,76,success,10.258,1.047,7.433,76,76,success,17.29,0.621,12.529,76,76,success,11.714,0.917,8.488,76,76,success,11.608,0.926,8.412,76,76,success,12.214,0.88,8.851,76,76,success,8.688,1.237,6.296,76,76
,socket2-0.6.4,success,0.923,test_failed,3.671,3.977,17,13,test_failed,3.458,1.062,3.746,17,13,test_failed,3.692,0.994,4,17,13,test_failed,4.259,0.862,4.614,17,13,test_failed,3.457,1.062,3.745,17,13,test_failed,5.266,0.697,5.705,17,13,test_failed,2.957,1.241,3.204,17,13
,spin-0.12.0,success,14.119,success,83.518,5.915,78,78,success,75.093,1.112,5.319,78,78,success,130.963,0.638,9.276,78,78,success,93.341,0.895,6.611,78,78,success,101.559,0.822,7.193,78,78,success,92.207,0.906,6.531,78,78,success,76.453,1.092,5.415,78,78
,stable_deref_trait-1.2.1,success,0.554,success,10.905,19.684,6,6,success,2.384,4.574,4.303,6,6,success,3.092,3.527,5.581,6,6,success,2.9,3.76,5.235,6,6,success,2.291,4.76,4.135,6,6,success,2.284,4.775,4.123,6,6,success,2.031,5.369,3.666,6,6
,subtle-2.6.1,success,0.72,success,20.002,27.781,35,35,success,19.374,1.032,26.908,35,35,success,21.994,0.909,30.547,35,35,success,20.002,1,27.781,35,35,success,20.229,0.989,28.096,35,35,success,18.566,1.077,25.786,35,35,success,15.338,1.304,21.303,35,35
,sync_wrapper-1.0.2,success,0.62,success,2.068,3.335,6,6,success,2.099,0.985,3.385,6,6,success,4.59,0.451,7.403,6,6,success,2.918,0.709,4.706,6,6,success,1.989,1.04,3.208,6,6,success,2.02,1.024,3.258,6,6,success,1.833,1.128,2.956,6,6
,tar-0.4.46,success,2.516,test_failed,2.091,0.831,1,0,test_failed,1.753,1.193,0.697,1,0,test_failed,3.245,0.644,1.29,1,0,test_failed,5.103,0.41,2.028,1,0,test_failed,1.867,1.12,0.742,1,0,test_failed,1.687,1.239,0.671,1,0,test_failed,1.512,1.383,0.601,1,0
,tempfile-3.27.0,success,4.592,test_failed,6.145,1.338,33,1,test_failed,3.381,1.818,0.736,33,1,test_failed,3.251,1.89,0.708,33,1,test_failed,4.312,1.425,0.939,33,1,test_failed,3.324,1.849,0.724,33,1,test_failed,3.034,2.025,0.661,33,1,test_failed,2.703,2.273,0.589,33,1
,terminal_size-0.4.4,test_failed,0.107,test_failed,1.837,17.168,1,0,test_failed,3.195,0.575,29.86,1,0,test_failed,1.126,1.631,10.523,1,0,test_failed,2.591,0.709,24.215,1,0,test_failed,1.261,1.457,11.785,1,0,test_failed,1.336,1.375,12.486,1,0,test_failed,1.317,1.395,12.308,1,0
,thread_local-1.1.9,success,0.671,success,7.488,11.159,10,10,success,5.706,1.312,8.504,10,10,success,3.691,2.029,5.501,10,10,success,4.504,1.663,6.712,10,10,success,4.023,1.861,5.996,10,10,success,4.83,1.55,7.198,10,10,success,3.678,2.036,5.481,10,10
,time-0.3.47,success,34.223,test_failed,2.514,0.073,1,0,test_failed,2.242,1.121,0.066,1,0,test_failed,3.145,0.799,0.092,1,0,test_failed,2.379,1.057,0.07,1,0,test_failed,2.434,1.033,0.071,1,0,test_failed,2.442,1.029,0.071,1,0,test_failed,8.27,0.304,0.242,1,0
,tinystr-0.8.3,success,1.771,success,159.9,90.288,35,35,success,124.012,1.289,70.024,35,35,success,136.593,1.171,77.128,35,35,success,126.699,1.262,71.541,35,35,success,137.708,1.161,77.757,35,35,success,121.06,1.321,68.357,35,35,success,106.513,1.501,60.143,35,35
,tokio-stream-0.1.18,success,10.361,success,78.974,7.622,122,115,success,60.707,1.301,5.859,122,115,success,76.332,1.035,7.367,122,115,success,73.504,1.074,7.094,122,115,success,76.102,1.038,7.345,122,115,success,66.818,1.182,6.449,122,115,success,61.497,1.284,5.935,122,115
,tokio-util-0.7.18,build_failed,,test_failed,2.828,,3,3,test_failed,3.415,0.828,,3,3,test_failed,2.791,1.013,,3,3,test_failed,4.393,0.644,,3,3,test_failed,2.625,1.077,,3,3,test_failed,2.607,1.085,,3,3,test_failed,2.797,1.011,,3,3
,tonic-0.14.6,success,2.029,test_failed,14.723,7.256,76,0,test_failed,9.448,1.558,4.656,76,0,test_failed,12.883,1.143,6.349,76,0,test_failed,12.635,1.165,6.227,76,0,test_failed,14.046,1.048,6.923,76,0,test_failed,11.54,1.276,5.688,76,0,test_failed,18.364,0.802,9.051,76,0
,tower-http-0.6.11,test_failed,1.053,test_failed,5.83,5.537,15,12,test_failed,2.853,2.043,2.709,15,12,test_failed,3.368,1.731,3.198,15,12,test_failed,7.86,0.742,7.464,15,12,test_failed,3.147,1.853,2.989,15,12,test_failed,3.08,1.893,2.925,15,12,test_failed,2.988,1.951,2.838,15,12
,tracing-0.1.44,build_failed,,test_failed,2.81,,1,1,test_failed,1.535,1.831,,1,1,test_failed,1.85,1.519,,1,1,test_failed,2.102,1.337,,1,1,test_failed,1.888,1.488,,1,1,test_failed,1.734,1.621,,1,1,test_failed,1.66,1.693,,1,1
,tracing-core-0.1.36,test_failed,0.059,test_failed,5.239,88.797,20,19,test_failed,4.017,1.304,68.085,20,19,test_failed,5.878,0.891,99.627,20,19,test_failed,4.681,1.119,79.339,20,19,test_failed,3.494,1.499,59.22,20,19,test_failed,2.711,1.932,45.949,20,19,test_failed,3.025,1.732,51.271,20,19
,tracing-log-0.2.0,success,0.88,success,9.772,11.105,11,11,success,6.694,1.46,7.607,11,11,success,8.76,1.116,9.955,11,11,success,9.747,1.003,11.076,11,11,success,7.616,1.283,8.655,11,11,success,7.709,1.268,8.76,11,11,success,6.934,1.409,7.88,11,11
,tracing-subscriber-0.3.23,build_failed,,test_failed,334.824,,94,92,test_failed,290.789,1.151,,94,92,test_failed,306.318,1.093,,94,92,test_failed,359.995,0.93,,94,92,test_failed,276.213,1.212,,94,92,test_failed,259.82,1.289,,94,92,test_failed,230.344,1.454,,94,92
,tungstenite-0.29.0,success,1.124,success,13.813,12.289,47,47,success,10.89,1.268,9.689,47,47,success,20.866,0.662,18.564,47,47,success,15.448,0.894,13.744,47,47,success,11.088,1.246,9.865,47,47,success,9.701,1.424,8.631,47,47,success,8.671,1.593,7.714,47,47
,twox-hash-2.1.2,success,0.837,success,232.983,278.355,62,61,success,179.958,1.295,215.004,62,61,success,95.126,2.449,113.651,62,61,absent,,,,,,success,90.969,2.561,108.685,62,61,success,87.678,2.657,104.753,62,61,success,80.357,2.899,96.006,62,61
,unicode-bidi-0.3.18,success,0.557,success,20.821,37.381,39,39,success,20.682,1.007,37.131,39,39,success,19.794,1.052,35.537,39,39,absent,,,,,,success,19.788,1.052,35.526,39,39,success,15.148,1.375,27.196,39,39,success,20.224,1.03,36.309,39,39
,unicode-ident-1.0.24,test_failed,0.34,test_failed,1098.719,3231.526,1,0,test_failed,827.626,1.328,2434.194,1,0,test_failed,893.43,1.23,2627.735,1,0,test_failed,912.429,1.204,2683.615,1,0,test_failed,901.326,1.219,2650.959,1,0,test_failed,899.683,1.221,2646.126,1,0,test_failed,800.123,1.373,2353.303,1,0
,unicode-normalization-0.1.25,success,0.403,success,689.504,1710.928,14,14,success,627.951,1.098,1558.191,14,14,success,740.116,0.932,1836.516,14,14,success,673.863,1.023,1672.117,14,14,success,632.151,1.091,1568.613,14,14,success,625.031,1.103,1550.945,14,14,success,615.813,1.12,1528.072,14,14
,url-2.5.8,success,7.555,success,507.628,67.191,134,134,success,517.768,0.98,68.533,134,134,success,754.761,0.673,99.902,134,134,success,684.972,0.741,90.665,134,134,success,730.194,0.695,96.65,134,134,success,602.687,0.842,79.773,134,134,success,545.919,0.93,72.259,134,134
,urlencoding-2.1.3,success,0.435,success,3.554,8.17,13,13,success,5.503,0.646,12.651,13,13,success,4.736,0.75,10.887,13,13,success,11.137,0.319,25.602,13,13,success,3.375,1.053,7.759,13,13,success,2.965,1.199,6.816,13,13,success,6.247,0.569,14.361,13,13
,utf-8-0.7.6,success,0.654,success,9714.033,14853.261,6,6,success,9281.216,1.047,14191.462,6,6,success,9531.355,1.019,14573.937,6,6,success,9218.889,1.054,14096.161,6,6,success,9363.078,1.037,14316.633,6,6,absent,,,,,,absent,,,,,
,utf8_iter-1.0.4,success,0.409,success,5.143,12.575,5,5,success,2.217,2.32,5.421,5,5,success,2.27,2.266,5.55,5,5,success,2.286,2.25,5.589,5,5,success,2.263,2.273,5.533,5,5,success,2.109,2.439,5.156,5,5,success,1.974,2.605,4.826,5,5
,utf8parse-0.2.2,success,0.178,success,99.698,560.101,1,1,success,99.834,0.999,560.865,1,1,success,7.436,13.407,41.775,1,1,success,7.594,13.129,42.663,1,1,success,7.709,12.933,43.309,1,1,success,7.277,13.7,40.882,1,1,success,6.962,14.32,39.112,1,1
,uuid-1.23.2,success,5.687,test_failed,23.827,4.19,130,129,test_failed,19.504,1.222,3.43,130,129,test_failed,17.494,1.362,3.076,130,129,test_failed,20.184,1.18,3.549,130,129,absent,,,,,,test_failed,13.928,1.711,2.449,130,129,test_failed,17.382,1.371,3.056,130,129
,wasm-bindgen-0.2.122,success,0.643,success,1.045,1.625,23,6,success,1.106,0.945,1.72,23,6,success,1.7,0.615,2.644,23,6,success,2.015,0.519,3.134,23,6,success,1.096,0.953,1.705,23,6,success,1.059,0.987,1.647,23,6,success,1.617,0.646,2.515,23,6
,which-8.0.2,success,0.616,test_failed,4.314,7.003,24,3,test_failed,5.161,0.836,8.378,24,3,test_failed,10.581,0.408,17.177,24,3,test_failed,3.294,1.31,5.347,24,3,test_failed,3.666,1.177,5.951,24,3,test_failed,3.388,1.273,5.5,24,3,test_failed,3.292,1.31,5.344,24,3
,windows-core-0.62.2,success,0.306,success,1.566,5.118,1,0,success,1.603,0.977,5.239,1,0,success,1.748,0.896,5.712,1,0,success,1.299,1.206,4.245,1,0,success,1.642,0.954,5.366,1,0,success,1.46,1.073,4.771,1,0,success,1.508,1.038,4.928,1,0
,windows-result-0.4.1,test_failed,0.262,test_failed,1.69,6.45,1,0,test_failed,1.64,1.03,6.26,1,0,test_failed,1.929,0.876,7.363,1,0,test_failed,1.861,0.908,7.103,1,0,test_failed,1.798,0.94,6.863,1,0,test_failed,1.536,1.1,5.863,1,0,test_failed,1.423,1.188,5.431,1,0
,windows-strings-0.5.1,test_failed,0.501,test_failed,2.029,4.05,1,0,test_failed,2.283,0.889,4.557,1,0,test_failed,2.452,0.827,4.894,1,0,test_failed,2.425,0.837,4.84,1,0,test_failed,1.902,1.067,3.796,1,0,test_failed,1.69,1.201,3.373,1,0,test_failed,2.069,0.981,4.13,1,0
,winnow-1.0.3,success,27.382,test_failed,6.384,0.233,269,0,absent,,,,,,test_failed,7.275,0.878,0.266,269,0,test_failed,6.859,0.931,0.25,269,0,test_failed,6.868,0.93,0.251,269,0,test_failed,6.117,1.044,0.223,269,0,test_failed,5.634,1.133,0.206,269,0
,writeable-0.6.3,build_failed,,success,94.9,,36,36,success,92.977,1.021,,36,36,success,94.954,0.999,,36,36,success,71.93,1.319,,36,36,success,88.883,1.068,,36,36,success,85.052,1.116,,36,36,success,76.666,1.238,,36,36
,xattr-1.6.1,test_failed,0.088,test_failed,2.112,24,7,0,test_failed,2.19,0.964,24.886,7,0,test_failed,3.763,0.561,42.761,7,0,test_failed,4.781,0.442,54.33,7,0,test_failed,2.28,0.926,25.909,7,0,test_failed,1.99,1.061,22.614,7,0,test_failed,1.901,1.111,21.602,7,0
,yansi-1.0.1,success,33.277,success,55.613,1.671,338,338,success,40.777,1.364,1.225,338,338,success,87.1,0.638,2.617,338,338,success,66.511,0.836,1.999,338,338,success,55.368,1.004,1.664,338,338,success,51.828,1.073,1.557,338,338,success,47.164,1.179,1.417,338,338
,yoke-0.8.2,test_failed,4.372,test_failed,11.859,2.712,62,55,test_failed,8.858,1.339,2.026,62,55,test_failed,9.393,1.263,2.148,62,55,test_failed,13.746,0.863,3.144,62,55,test_failed,9.548,1.242,2.184,62,55,test_failed,8.223,1.442,1.881,62,55,test_failed,7.956,1.491,1.82,62,55
,zerocopy-0.8.50,success,11.364,success,351.683,30.947,372,234,success,237.09,1.483,20.863,372,234,success,336.508,1.045,29.612,372,234,success,352.662,0.997,31.033,372,234,success,605.545,0.581,53.286,372,234,success,611.758,0.575,53.833,372,234,success,514.572,0.683,45.281,372,234
,zeroize-1.8.2,success,2.012,success,7.338,3.647,19,19,success,3.838,1.912,1.908,19,19,success,9.882,0.743,4.912,19,19,success,4.019,1.826,1.998,19,19,success,5.149,1.425,2.559,19,19,success,4.57,1.606,2.271,19,19,success,4.402,1.667,2.188,19,19
,zerotrie-0.2.4,build_failed,,test_failed,2.634,,8,8,test_failed,2.13,1.237,,8,8,test_failed,5.219,0.505,,8,8,test_failed,2.671,0.986,,8,8,test_failed,4.713,0.559,,8,8,test_failed,2.223,1.185,,8,8,test_failed,2.444,1.078,,8,8
,zip-8.6.0,success,29.036,test_failed,11860.861,408.488,136,0,test_failed,9875.02,1.201,340.096,136,0,test_failed,6390.378,1.856,220.085,136,0,test_failed,7024.568,1.688,241.926,136,0,test_failed,6885.629,1.723,237.141,136,0,absent,,,,,,absent,,,,,
,zstd-safe-7.2.4,success,0.75,test_failed,1.816,2.421,3,0,test_failed,1.737,1.045,2.316,3,0,test_failed,6.02,0.302,8.027,3,0,test_failed,3.365,0.54,4.487,3,0,test_failed,1.894,0.959,2.525,3,0,test_failed,1.564,1.161,2.085,3,0,test_failed,1.582,1.148,2.109,3,0
