crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
n4m-0.1.5,n4m,0.1.5,https://github.com/GBeurier/nirs4all-methods,github,3,0,0,2,"extern ""C"""
naina-0.2.1,naina,0.2.1,https://github.com/jvoltci/naina,github,1,0,0,1,"extern ""C"""
name_exchanger_rs-2.3.2,name_exchanger_rs,2.3.2,https://github.com/Mikachu2333/exchange_name_lib,github,2,0,0,1,"extern ""C"""
nanocodex-service-0.2.0,nanocodex-service,0.2.0,https://github.com/gakonst/nanocodex,github,2,0,0,2,"extern ""C"""
nanocodex-subagents-0.6.4,nanocodex-subagents,0.6.4,https://github.com/gakonst/nanocodex,github,1,0,0,1,"extern ""C"""
native-exchange-abi-0.2.0,native-exchange-abi,0.2.0,https://github.com/hippolabs-org/native-exchange,github,5,0,0,1,"extern ""C"""
native-exchange-dart-0.3.1,native-exchange-dart,0.3.1,https://github.com/hippolabs-org/native-exchange,github,13,0,0,1,"extern ""C"""
native-exchange-rust-0.3.0,native-exchange-rust,0.3.0,https://github.com/hippolabs-org/native-exchange,github,8,0,0,1,"extern ""C"""
naturallanguage-0.5.0,naturallanguage,0.5.0,https://github.com/doom-fish/naturallanguage-rs,github,1,0,0,1,"extern ""C"""
nautilus-extension-0.8.0,nautilus-extension,0.8.0,https://github.com/talklittle/nautilus-extension-rs,github,22,0,0,5,"extern ""C"""
navio-blsct-0.1.5,navio-blsct,0.1.5,https://github.com/nav-io/libblsct-bindings,github,3,0,0,2,"extern ""C"""
nbdkit-0.3.0,nbdkit,0.3.0,https://gitlab.com/nbdkit/nbdkit,gitlab,1,0,0,1,"extern ""C"""
nbis-rs-0.1.0,nbis-rs,0.1.0,https://github.com/Seventh-Sense-Artificial-Intelligence/nbis-rs,github,5,0,0,2,"extern ""C"""
ncnnrs-0.1.7,ncnnrs,0.1.7,https://github.com/Baiyuetribe/ncnnrs,github,4,0,0,1,"extern ""C"""
ncursesw-0.6.4,ncursesw,0.6.4,https://github.com/narfit66/ncursesw-rs,github,990,0,0,5,"extern ""C"""
